Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.423	0.299655516792431	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4713693	1	GSM816644
2.011	1.05957738162708	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6832151,rs9355610,rs9394159	2	Lookup
-0.841	4.3429403569492e-11	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
1.596	0.797340006809807	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs6832151,rs9355610	4	Lookup
1.479	0.751896234995803	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs6832151,rs9355610	5	Lookup
0.409	0.298292403767353	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6832151	6	GSM816664
0.520	0.33554649565084	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs229527	7	GSM736607
0.855	0.42793043737935	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs6832151	8	GSM736558,GSM736635
0.519	0.334486059845778	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs6832151	9	GSM736525
0.471	0.323126661837714	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs6832151	10	GSM736512,GSM736561
1.000	0.543786598695764	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs6832151,rs9355610	11	GSM816665,GSM736496,GSM736620
3.657	1.98819529932472	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2294025,rs229527,rs505922,rs9355610	12	GSM816656
0.018	0.193171353021245	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6832151	13	GSM816657
0.482	0.317155257646661	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6832151	14	GSM816653
2.398	1.23489621933225	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3761959,rs505922,rs6832151	15	GSM816658
2.737	1.37279907859082	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs505922,rs6832151,rs9355610	16	GSM816659
