Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.603	0.402042573694907	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2277339,rs236114	1	GSM816644
0.420	0.345666378722083	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2277339,rs2307449,rs7333181	2	Lookup
-0.499	0.0934827677441001	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs2277339	3	Lookup
1.044	0.612633980592977	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs12461110,rs2277339,rs2303369	4	Lookup
0.204	0.270798886901044	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs11668344,rs2277339	5	Lookup
1.197	0.664973691882772	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11668344,rs2277339,rs2307449	6	GSM816664
-0.310	0.124045297225633	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs2277339	7	GSM736607
-0.120	0.164927271595823	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2277339	8	GSM736558,GSM736635
-0.320	0.123889041978409	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2277339	9	GSM736525
-0.384	0.114395527327039	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2277339	10	GSM736512,GSM736561
-0.229	0.161910819087205	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2277339,rs7333181	11	GSM816665,GSM736496,GSM736620
-0.216	0.165332423286294	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11668344,rs2277339	12	GSM816656
0.433	0.347832915492101	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11668344,rs2277339,rs2307449	13	GSM816657
1.339	0.728978616883155	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11668344,rs2277339,rs236114	14	GSM816653
-0.919	0.0458894180876555	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2277339	15	GSM816658
0.079	0.235725202626839	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2277339,rs7333181	16	GSM816659
-0.097	0.19138654011697	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11668344,rs2277339	17	GSM816648
2.006	1.14827228647886	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs1635501,rs2277339,rs2307449,rs2517388	18	GSM736626,GSM736595
