Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
3.044	2.03676070240437	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs12498742,rs17632159,rs2078267,rs478607,rs606458,rs653178,rs6598541,rs7193778	1	GSM816644
-0.308	0.164193635105863	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11264341,rs1171614,rs17632159,rs2078267,rs606458,rs7953704	2	Lookup
0.550	0.435238275588091	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs11264341,rs2079742,rs606458,rs6598541,rs7193778	3	Lookup
-0.634	0.0985873818114855	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs478607,rs606458	4	Lookup
0.322	0.343566355218494	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs17632159,rs2078267,rs606458,rs6598541	5	Lookup
-0.769	0.0759110227816287	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs1260326,rs606458	6	GSM816664
2.733	1.73991164384058	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs11264341,rs1171614,rs17632159,rs2078267,rs493573,rs606458,rs6598541,rs729761	7	GSM736607
-0.606	0.0919719635025248	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs606458	8	GSM736558,GSM736635
-0.126	0.199475033754183	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs606458,rs653178	9	GSM736525
1.634	0.97021315643468	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs17050272,rs17632159,rs606458,rs653178,rs7193778	10	GSM736512,GSM736561
0.145	0.29152639144231	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs17632159,rs2078267,rs478607,rs606458,rs7193778	11	GSM816665,GSM736496,GSM736620
1.985	1.23346771230306	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11264341,rs1171614,rs11722228,rs1178977,rs1260326,rs17632159,rs2078267,rs493573,rs606458,rs675209,rs7953704	12	GSM816656
1.602	0.963356587150424	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10480300,rs1171614,rs1178977,rs1260326,rs16890979,rs17632159,rs2078267,rs606458,rs642803,rs7193778,rs7953704	13	GSM816657
1.025	0.66572404297408	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs11722228,rs1260326,rs2078267,rs493573,rs606458	14	GSM816653
1.312	0.83027662770669	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs1260326,rs17632159,rs2078267,rs478607,rs506338,rs606458,rs642803,rs7953704	15	GSM816658
0.887	0.577155306541123	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11264341,rs1171614,rs17632159,rs2231142,rs478607,rs606458,rs729761	16	GSM816659
1.671	1.06028335398882	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs1260326,rs17050272,rs17632159,rs2078267,rs478607,rs493573,rs506338,rs606458,rs7976059	17	GSM816648
0.054	0.254198594476183	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs11264341,rs1171614,rs478607,rs606458	18	GSM736626,GSM736595
-0.214	0.176831992467527	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs17632159,rs2078267,rs606458	19	GSM736501,GSM736492
1.800	1.1487061121544	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs11264341,rs1171614,rs17632159,rs2078267,rs478607,rs506338,rs606458,rs653178,rs7193778,rs729761	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
2.152	1.27134018231607	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs10480300,rs11264341,rs1171614,rs17632159,rs2078267,rs606458,rs729761	21	GSM736604,GSM736529
0.274	0.333330507709386	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs1165151,rs1171614,rs17632159,rs2078267,rs478607,rs606458	22	GSM736592,GSM1024760
1.284	0.75799855915221	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs1165151,rs1171614,rs2078267,rs2079742,rs606458	23	GSM736502,GSM1024792
2.649	1.69251320217458	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs17632159,rs2078267,rs478607,rs606458,rs6598541,rs7224610	24	GSM736583,GSM736505
3.123	2.18140345103674	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10480300,rs1171614,rs17632159,rs2078267,rs478607,rs606458,rs6598541,rs7224610	25	GSM816638
5.051	4.30522287203508	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs10480300,rs1171614,rs17632159,rs2078267,rs478607,rs506338,rs606458,rs653178,rs6598541,rs7193778,rs7224610,rs729761	26	GSM736509,GSM736554
0.761	0.508259488970597	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs1178977,rs2078267,rs606458,rs6598541	27	GSM1024745,GSM1024747
1.117	0.692639214531405	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs10480300,rs17632159,rs2078267,rs606458,rs6598541	28	GSM736609,GSM736523
1.878	1.15474592243711	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs10821905,rs17632159,rs2078267,rs606458,rs653178,rs6598541,rs7193778	29	GSM736571,GSM736521
0.312	0.327922367906483	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs2078267,rs606458,rs6598541	30	GSM736599,GSM736591
0.371	0.355553621072555	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs17632159,rs2078267,rs606458,rs6598541	31	GSM736577,GSM736573
0.446	0.384986063509996	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs2078267,rs606458,rs6598541	32	GSM736611,GSM736624
0.991	0.617737899418688	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs17632159,rs2078267,rs606458,rs653178,rs6598541	33	GSM736542,GSM736511
1.025	0.638926515356496	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs1171614,rs17632159,rs2078267,rs606458,rs6598541	34	GSM736507,GSM736627
1.700	1.00782439747862	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs16890979,rs17632159,rs2078267,rs2079742,rs606458,rs653178,rs6598541	35	GSM1024763
2.921	1.93734651911299	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs10480300,rs1171614,rs17632159,rs2078267,rs606458,rs6598541,rs7193778,rs7224610	36	GSM736555,GSM736614
