Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.178	0.541243388353271	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4410871	1	GSM816644
0.728	0.393025282128466	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1059513	2	Lookup
-0.608	4.82163733276643e-17	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
-0.647	0	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
-0.661	4.34294517858653e-11	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig		5	Lookup
-0.606	4.82163733276643e-17	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
1.230	0.55500264348221	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs1059513	7	GSM736607
-0.522	4.34295000022386e-11	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
1.141	0.517459062895032	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs4410871	9	GSM736525
-0.614	0	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
3.210	1.72804668035172	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs10056340,rs1059513,rs4410871	11	GSM816665,GSM736496,GSM736620
0.970	0.457973246182715	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1059513	12	GSM816656
0.903	0.438893990304168	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1059513	13	GSM816657
