Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.227	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs10401969,rs12272004,rs6511720	1	GSM701525
-0.955	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs1800562,rs12272004	2	GSM701526
1.150	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs12272004,rs6511720,rs514230,rs581080,rs4420638	3	GSM665837
0.444	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs10903129,rs174570,rs12272004,rs3757354,rs6511720,rs514230,rs581080	4	GSM701516
-0.004	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs10903129,rs2075650,rs12272004,rs6511720,rs514230,rs581080	5	GSM701489
0.768	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs964184,rs10401969,rs12272004,rs3757354,rs6511720,rs581080	6	GSM701491
-0.816	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs12272004,rs6511720,rs514230	7	GSM665812
-0.576	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs6511720,rs514230,rs581080	8	GSM665839
-0.304	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs2228671,rs2075650,rs12272004,rs3757354,rs6511720	9	GSM817166
1.599	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs2814982,rs2075650,rs12272004,rs2072183,rs6511720,rs514230	10	GSM701539
1.383	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs2075650,rs12272004,rs2290159,rs3757354,rs2902940,rs2072183,rs6511720,rs581080	11	GSM817160
0.430	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs10903129,rs964184,rs646776,rs12272004,rs6511720,rs514230,rs581080	12	GSM665813
-0.193	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs12272004,rs6511720,rs581080	13	GSM665838
-0.256	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs174570,rs12272004,rs1367117,rs6511720	14	GSM701499
-0.337	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs2075650,rs12272004,rs6511720	15	GSM701540
-0.335	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs2290159,rs1367117,rs6511720	16	GSM701503
-0.111	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs12272004,rs2902940,rs6511720	17	GSM701541
0.055	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs1800562,rs12272004,rs3757354,rs6511720,rs581080	18	GSM701492
0.854	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs1800562,rs964184,rs2075650,rs12272004,rs514230,rs581080	19	GSM701493
