Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-0.842	0	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		1	GSM816644
3.191	1.84991814564872	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs251253,rs267567,rs3922844,rs6763048	2	Lookup
-0.796	4.34295000022386e-11	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
-0.814	0	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
0.481	0.325706723967598	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs6801957	5	Lookup
0.319	0.276549419173862	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs267567	6	GSM816664
-0.729	0	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
1.085	0.513829074978143	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs251253	8	GSM736558,GSM736635
0.685	0.385799862061501	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs251253	9	GSM736525
0.574	0.350835632995723	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs251253	10	GSM736512,GSM736561
2.224	1.18668878807543	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs251253,rs4944092,rs6763048	11	GSM816665,GSM736496,GSM736620
0.192	0.240345144761633	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6763048	12	GSM816656
2.216	1.18891306542956	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs251253,rs267567,rs3922844	13	GSM816657
1.964	0.955684945957579	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3922844,rs6763048	14	GSM816653
-1.006	0	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		15	GSM816658
0.318	0.271307738705871	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6763048	16	GSM816659
1.033	0.571427103158179	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3922844,rs6763048	17	GSM816648
