Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.217	0.527974155851684	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17146964	1	GSM816644
0.741	0.362286676104006	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17146964	2	Lookup
-0.606	0	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
-0.674	0	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
2.622	1.19264949969418	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs1063192,rs17146964	5	Lookup
-0.660	0	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
-0.578	4.34294517858653e-11	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.563	0	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-0.563	0	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-0.575	0	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
-0.792	0	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig		11	GSM816665,GSM736496,GSM736620
-0.825	0	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		12	GSM816656
0.815	0.370389432571064	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17146964	13	GSM816657
1.259	0.526891380664818	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1900004	14	GSM816653
0.916	0.421036469346912	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1900004	15	GSM816658
-0.747	4.82163733276643e-17	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
-0.793	4.3429403569492e-11	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		17	GSM816648
1.023	0.479845421250416	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs17146964	18	GSM736626,GSM736595
-0.596	9.64327466553287e-17	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
-0.851	4.34295000022386e-11	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig		20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
1.252	0.556268200709786	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs17146964	21	GSM736604,GSM736529
-0.774	4.34294517858653e-11	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig		22	GSM736592,GSM1024760
-0.578	0	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig		23	GSM736502,GSM1024792
2.908	1.36425035335852	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs1547014,rs17146964	24	GSM736583,GSM736505
1.275	0.567092441983123	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17146964	25	GSM816638
0.862	0.43189161702092	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs17146964	26	GSM736509,GSM736554
1.285	0.551574581093906	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs17146964	27	GSM1024745,GSM1024747
1.186	0.539000500803661	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs17146964	28	GSM736609,GSM736523
0.817	0.423325141802521	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs17146964	29	GSM736571,GSM736521
1.533	0.651410887464411	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs17146964	30	GSM736599,GSM736591
1.174	0.527974155851684	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs17146964	31	GSM736577,GSM736573
1.271	0.561038655908368	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs17146964	32	GSM736611,GSM736624
1.056	0.49216152295576	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs17146964	33	GSM736542,GSM736511
1.157	0.535650284960895	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs17146964	34	GSM736507,GSM736627
2.999	1.37589225526519	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs17146964,rs1900004	35	GSM1024763
1.116	0.517316180959814	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs17146964	36	GSM736555,GSM736614
0.589	0.343354258175178	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs17146964	37	GSM816646,GSM736575,GSM736533
1.807	0.779319813465071	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17146964,rs1900004	38	Lookup
1.176	0.529060617940537	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs17146964	39	Lookup
0.841	0.399790642868074	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17146964	40	GSM816668
0.498	0.307807368881722	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17146964	41	GSM816636
1.190	0.539000500803661	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs17146964	42	GSM736522,GSM736570
-0.517	4.34295000022386e-11	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig		43	GSM1008585
0.747	0.394203121421334	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs17146964	44	GSM736594,GSM736535
2.011	0.954970156604495	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs1063192,rs17146964	45	GSM816669,GSM736634,GSM736552
1.413	0.595141092636956	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs17146964	46	GSM736628,GSM736541
0.717	0.37293610176571	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs17146964	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
0.945	0.438283910440534	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17146964	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
0.841	0.411314556884203	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17146964	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
1.134	0.510065794801367	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig	rs17146964	50	GSM736586,GSM736538
0.513	0.31330071873302	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs17146964	51	GSM816633,GSM816643,GSM736564,GSM736510
1.243	0.533436061938052	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17146964	52	GSM816633,GSM816643,GSM736564,GSM736510
-0.755	0	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig		53	GSM736500,GSM736587
1.496	0.617122869862438	HCT-116	Colon	HCT116-DS13551.twopass.merge150.wgt10.zgt2.wig	rs17146964	54	GSM736600,GSM736493
2.988	1.40214181095835	HVMF	Connective	HVMF-DS13981.twopass.merge150.wgt10.zgt2.wig	rs17146964,rs8068952	55	GSM736534,GSM736491
3.366	1.49525049413236	WI-38	Embryonic lung	WI_38-DS14315.twopass.merge150.wgt10.zgt2.wig	rs17146964,rs8068952	56	GSM736613,GSM736526,GSM736613,GSM736526
2.348	1.11226967348268	WI-38	Embryonic lung	WI_38_TAM-DS14323.twopass.merge150.wgt10.zgt2.wig	rs1063192,rs17146964	57	GSM736613,GSM736526,GSM736613,GSM736526
0.717	0.368499736906691	A549	Epithelium	A549-all.twopass.merge150.wgt10.zgt2.wig	rs17146964	58	GSM816649,GSM736580,GSM736506
1.255	0.563450186769544	HAEpiC	Epithelium	HAEpiC-DS12663.twopass.merge150.wgt10.zgt2.wig	rs17146964	59	GSM736631,GSM736606
