Zscore	Cell	Tissue	File	SNPs	Number	Accession
3.974	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs42041,rs2476601,rs3761847,rs840016,rs660895,rs3783637,rs3087243,rs881375,rs2233434	1	GSM701525
5.404	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs3761847,rs840016,rs660895,rs3783637,rs2841277,rs3093023,rs615672,rs4810485,rs2280381,rs3184504,rs10488631,rs26232,rs2233434	2	GSM701526
4.093	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs13031237,rs3761847,rs840016,rs660895,rs3783637,rs3184504,rs881375,rs6679677,rs6496667,rs11203203,rs2233434	3	GSM665837
6.416	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs3761847,rs840016,rs660895,rs7404928,rs3783637,rs3087243,rs3093024,rs3093023,rs4810485,rs3184504,rs6859219,rs4750316,rs4937362,rs881375,rs6679677,rs6496667,rs11203203,rs2233434	4	GSM701516
6.158	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs3761847,rs840016,rs660895,rs7404928,rs3783637,rs3087243,rs3093024,rs3093023,rs615672,rs4810485,rs2280381,rs6859219,rs4750316,rs4937362,rs881375,rs26232,rs2233434,rs706778	5	GSM701489
6.278	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs3761847,rs840016,rs660895,rs7404928,rs3783637,rs3087243,rs3093024,rs2075876,rs4810485,rs2280381,rs6859219,rs13017599,rs4937362,rs881375,rs6679677,rs11203203,rs2233434	6	GSM701491
4.150	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs3761847,rs840016,rs660895,rs7404928,rs3783637,rs3093024,rs3093023,rs4810485,rs2280381,rs4937362,rs881375,rs6679677,rs26232,rs2233434	7	GSM665812
5.521	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs3761847,rs840016,rs660895,rs3783637,rs3087243,rs2847297,rs3093024,rs4810485,rs2280381,rs6859219,rs881375,rs6679677,rs26232,rs706778	8	GSM665839
4.376	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs840016,rs660895,rs3783637,rs2240335,rs3093024,rs2280381,rs3184504,rs6859219,rs881375,rs6679677,rs6496667,rs11203203,rs2233434,rs706778	9	GSM817166
4.172	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs657075,rs3761847,rs840016,rs660895,rs3783637,rs2280381,rs6859219,rs4937362,rs881375,rs11203203,rs2233434	10	GSM701539
2.955	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs3761847,rs840016,rs660895,rs3783637,rs2075876,rs4810485,rs6859219,rs4937362,rs881375,rs2233434	11	GSM817160
5.388	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs10499194,rs2230926,rs3761847,rs840016,rs660895,rs7404928,rs3783637,rs3087243,rs615672,rs2280381,rs3184504,rs881375,rs6679677,rs26232,rs6496667,rs11203203,rs2233434,rs706778	12	GSM665813
4.019	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs3761847,rs840016,rs660895,rs3783637,rs4810485,rs6859219,rs4937362,rs881375,rs11203203,rs2233434	13	GSM665838
3.620	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs3761847,rs840016,rs660895,rs7404928,rs3783637,rs2280381,rs13017599,rs4937362,rs881375,rs6679677,rs2233434	14	GSM701499
1.760	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs3761847,rs840016,rs3783637,rs3093024,rs4937362,rs881375,rs2233434	15	GSM701540
1.236	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs660895,rs3783637,rs4810485,rs2280381,rs2233434	16	GSM701503
4.667	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs660895,rs3783637,rs3087243,rs3093023,rs4810485,rs2280381,rs3184504,rs13017599,rs881375,rs2233434	17	GSM701541
7.788	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs1600249,rs840016,rs660895,rs7404928,rs3783637,rs2841277,rs3093024,rs3093023,rs615672,rs4810485,rs2280381,rs13017599,rs4937362,rs881375,rs12529514,rs11203203,rs2233434,rs706778	18	GSM701492
6.806	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs3761847,rs840016,rs660895,rs7404928,rs3783637,rs2841277,rs3093024,rs3093023,rs615672,rs4810485,rs2280381,rs13017599,rs881375,rs26232,rs6496667,rs12529514,rs2233434,rs706778	19	GSM701493
5.640	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs3761847,rs840016,rs660895,rs7404928,rs3783637,rs2841277,rs3093024,rs3093023,rs615672,rs4810485,rs2280381,rs13017599,rs4937362,rs26232,rs2872507,rs12529514,rs2233434	20	GSM701507
1.291	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs840016,rs3783637,rs3093023,rs2280381,rs2812378,rs2867461,rs881375,rs26232,rs2233434	21	GSM701500
3.373	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	rs840016,rs660895,rs7404928,rs3783637,rs2841277,rs4810485,rs2280381,rs874040,rs3125734,rs881375,rs2233434	22	GSM530664
2.263	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig	rs840016,rs660895,rs3783637,rs2841277,rs3093023,rs4810485,rs2280381,rs881375,rs2233434	23	GSM530658
3.011	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig	rs840016,rs660895,rs3783637,rs2841277,rs4810485,rs2280381,rs874040,rs881375,rs6679677,rs2233434	24	GSM530659
2.831	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS14206.twopass.merge150.wgt10.zgt2.wig	rs2476601,rs840016,rs660895,rs7404928,rs3783637,rs2841277,rs3093023,rs4810485,rs2280381,rs6679677	25	GSM595919
2.453	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01508.DS11202.twopass.merge150.wgt10.zgt2.wig	rs657075,rs840016,rs660895,rs3783637,rs2841277,rs4810485,rs2280381,rs881375,rs2233434	26	GSM493386
