Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.674	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2072134,rs643531,rs2925979,rs1800775,rs1864163	1	GSM816644
1.472	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs157580,rs17145738,rs1800961,rs643531,rs6065906,rs255049,rs16940212,rs12449157,rs1800775,rs9989419,rs4775041,rs261334,rs4939883,rs9987289,rs1864163,rs9891572	2	Lookup
0.910	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs1800588,rs328,rs643531,rs2293889,rs1077835,rs2925979,rs386000,rs9989419,rs4129767,rs2967605	3	Lookup
0.261	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs157580,rs328,rs643531,rs2925979,rs386000,rs9989419,rs1532624,rs2923084,rs581080	4	Lookup
-0.056	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs157580,rs2072134,rs643531,rs174570,rs2925979,rs12449157,rs9989419,rs1532624	5	Lookup
0.901	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs157580,rs11869286,rs174570,rs3890182,rs16940212,rs2925979,rs9989419,rs4939883,rs1864163,rs2967605	6	GSM816664
0.305	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs7120118,rs17145738,rs4660293,rs174570,rs9989419,rs174546,rs4420638	7	GSM736607
0.530	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs643531,rs255049,rs2278426,rs2925979,rs9989419,rs1532624	8	GSM736558,GSM736635
-0.531	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs157580,rs16942887,rs643531,rs1532624,rs4129767	9	GSM736525
0.860	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs157580,rs16942887,rs643531,rs12449157,rs9989419,rs1532624,rs174546,rs2954029,rs4420638	10	GSM736512,GSM736561
0.326	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs157580,rs2074356,rs328,rs16942887,rs4660293,rs643531,rs964184,rs174570,rs255049,rs2925979,rs9989419,rs1532624	11	GSM816665,GSM736496,GSM736620
1.361	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs157580,rs2074356,rs17145738,rs328,rs1800961,rs11902417,rs7679,rs643531,rs7255436,rs12449157,rs386000,rs1800775,rs9989419,rs1532624,rs2967605	12	GSM816656
