Zscore	Cell	Tissue	File	SNPs	Number	Accession
-1.085	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		1	GSM816644
-0.266	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1644305	2	Lookup
1.353	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs931812,rs10797919	3	Lookup
0.172	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs931812	4	Lookup
0.024	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs10229603	5	Lookup
0.101	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9512900	6	GSM816664
0.355	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs10797919	7	GSM736607
-0.858	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
0.239	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs931812	9	GSM736525
-1.065	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
-0.538	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs6427356	11	GSM816665,GSM736496,GSM736620
1.353	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9512900,rs1644305	12	GSM816656
-0.083	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9512900	13	GSM816657
0.098	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs701157	14	GSM816653
-0.168	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1644305	15	GSM816658
