Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-0.722	0.0629878897698679	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10875976	1	GSM816644
1.167	0.698352736178996	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11042023,rs11624704,rs1424233,rs2307111,rs9299	2	Lookup
0.839	0.534388036557502	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs17024258,rs2531995,rs9299	3	Lookup
0.063	0.238746479320647	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs2531995,rs7184597	4	Lookup
2.185	1.21327058834299	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs10182181,rs11624704,rs17024258,rs2531995,rs9299	5	Lookup
0.641	0.435062570637367	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12446554,rs2531995,rs6711012	6	GSM816664
-0.533	0.0935244755538168	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs17024258	7	GSM736607
-0.300	0.131980104496706	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs7184597	8	GSM736558,GSM736635
0.173	0.270708529365801	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs10875976,rs7184597	9	GSM736525
-0.599	0.0808511552003294	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs7184597	10	GSM736512,GSM736561
-0.021	0.227864786718161	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs10182181,rs11042023,rs7184597	11	GSM816665,GSM736496,GSM736620
0.904	0.544324506088586	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11042023,rs2531995,rs7184597,rs7498665	12	GSM816656
0.776	0.49084596175726	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10423928,rs11042023,rs2531995,rs7498665	13	GSM816657
-1.512	0	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
-0.492	0.116760062443498	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10423928,rs11042023	15	GSM816658
-0.966	0.0427874545158483	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7184597	16	GSM816659
-1.950	0	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		17	GSM816648
-1.505	4.3429403569492e-11	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig		18	GSM736626,GSM736595
-1.500	0	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
-0.930	0.0550752085918404	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs10182181,rs7184597	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-1.496	4.3429403569492e-11	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig		21	GSM736604,GSM736529
-0.467	0.119791606668956	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs10182181,rs2531995	22	GSM736592,GSM1024760
0.568	0.395689280492972	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs7138803,rs7184597	23	GSM736502,GSM1024792
-0.670	0.0679108137505085	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs1421085	24	GSM736583,GSM736505
-0.725	0.0632688084949901	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10182181	25	GSM816638
-0.964	0.0364380197475169	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs1421085	26	GSM736509,GSM736554
-1.405	8.68589035760736e-11	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig		27	GSM1024745,GSM1024747
0.147	0.264353768614624	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs1421085,rs2531995	28	GSM736609,GSM736523
-0.232	0.164326167934319	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs10182181,rs1421085	29	GSM736571,GSM736521
-1.256	0	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig		30	GSM736599,GSM736591
-1.437	4.82163733276643e-17	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig		31	GSM736577,GSM736573
-0.541	0.0884957828742307	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs1421085	32	GSM736611,GSM736624
-0.809	0.0555775615646462	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs1421085	33	GSM736542,GSM736511
-1.429	0	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig		34	GSM736507,GSM736627
-0.747	0.0607007542839284	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs2531995	35	GSM1024763
0.051	0.235945669905831	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs17817449,rs2531995	36	GSM736555,GSM736614
-1.386	0.0132557393552956	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs10182181	37	GSM816646,GSM736575,GSM736533
0.595	0.435813419803546	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10423928,rs11042023,rs2531995,rs7498665,rs7503807	38	Lookup
-1.495	8.68589035760736e-11	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig		39	Lookup
-1.807	4.34294517858653e-11	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		40	GSM816668
1.375	0.801674563011523	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10423928,rs10875976,rs11042023,rs12446554,rs633715,rs9568856	41	GSM816636
0.088	0.247113061378456	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs10182181,rs10875976	42	GSM736522,GSM736570
0.095	0.220883719965375	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs9299	43	GSM1008585
1.943	1.21600513276481	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs10182181,rs1421085,rs1424233,rs17817449,rs2531995,rs9299	44	GSM736594,GSM736535
-0.813	0.0620747895061638	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs10182181,rs7184597	45	GSM816669,GSM736634,GSM736552
-1.331	0	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig		46	GSM736628,GSM736541
-0.751	0.07031032223869	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs10182181,rs7184597	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.976	0.0370012519927337	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10182181	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
