Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-1.277	0	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig		1	GSM701525
0.316	0.314978436865424	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs4147929,rs6733839	2	GSM701526
1.112	0.641058681324743	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs1476679,rs4147929,rs4420638	3	GSM665837
-1.134	0.0290973608367653	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs10498633	4	GSM701516
0.340	0.334330902852404	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs2075650,rs4147929,rs561655	5	GSM701489
0.722	0.472822306935089	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs28834970,rs4147929,rs6733839	6	GSM701491
0.750	0.480830760218561	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs10792832,rs28834970,rs4147929	7	GSM665812
0.973	0.575355075746834	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs28834970,rs4147929,rs6733839	8	GSM665839
0.988	0.606052810459116	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs2075650,rs4147929,rs4676049,rs6733839	9	GSM817166
0.911	0.545378705885033	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs2075650,rs28834970,rs4147929	10	GSM701539
1.247	0.732177045357752	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs2075650,rs4147929,rs4676049,rs7274581	11	GSM817160
0.232	0.299884913732735	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs10498633,rs4147929,rs7274581	12	GSM665813
-0.449	0.103876705018722	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs4147929	13	GSM665838
0.629	0.437536327207053	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs4147929,rs4676049,rs744373	14	GSM701499
0.394	0.335587365213504	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs2075650,rs4147929	15	GSM701540
1.934	1.04848348189752	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs10498633,rs10792832,rs28834970,rs6733839	16	GSM701503
3.056	1.76810714054807	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs10792832,rs11754661,rs28834970,rs6733839,rs744373	17	GSM701541
-0.837	0.0511340135692694	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs4147929	18	GSM701492
0.022	0.225996644081448	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs2075650,rs4147929	19	GSM701493
-0.103	0.194227222167491	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs10498633,rs4147929	20	GSM701507
-0.997	0.0352271608122995	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs28834970	21	GSM701500
1.026	0.607200940111361	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	rs10498633,rs9331896,rs983392	22	GSM530664
0.914	0.557761665422194	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig	rs10792832,rs4147929,rs6733839	23	GSM530658
1.942	1.09027970908005	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig	rs28834970,rs4147929,rs6733839,rs9331896	24	GSM530659
0.968	0.569568304938618	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS14206.twopass.merge150.wgt10.zgt2.wig	rs11771145,rs4147929,rs983392	25	GSM595919
1.840	1.01546441983816	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01508.DS11202.twopass.merge150.wgt10.zgt2.wig	rs10498633,rs4147929,rs6733839,rs9331896	26	GSM493386
-0.535	0.0875043863225588	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01517.DS14129.twopass.merge150.wgt10.zgt2.wig	rs983392	27	GSM595917
0.880	0.542853226910158	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01520.DS12785.twopass.merge150.wgt10.zgt2.wig	rs10498633,rs10792832,rs4147929	28	GSM530660
0.955	0.562102741114759	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01527.DS11666.twopass.merge150.wgt10.zgt2.wig	rs28834970,rs4147929,rs983392	29	GSM493387
1.101	0.639040169437262	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS12274.twopass.merge150.wgt10.zgt2.wig	rs10792832,rs4147929,rs6733839	30	GSM493384
2.633	1.55298884706908	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS14197.twopass.merge150.wgt10.zgt2.wig	rs10792832,rs10948363,rs11771145,rs6733839,rs983392	31	GSM595918
1.007	0.590798851160512	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01536.DS12339.twopass.merge150.wgt10.zgt2.wig	rs4147929,rs9331896,rs983392	32	GSM530652
