Zscore	Cell	Tissue	File	SNPs	Number	Accession
-1.490	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		1	GSM816644
1.456	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4748153,rs10108684,rs1940973,rs2834655,rs12282	2	Lookup
3.914	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs4748153,rs17290760,rs2836770,rs2973662,rs2834655,rs12282,rs2553218	3	Lookup
0.273	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs3804795,rs2834655	4	Lookup
1.302	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs4748153,rs17290760,rs2834655,rs12282	5	Lookup
-0.028	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9608102,rs2834655	6	GSM816664
-0.488	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs4748153	7	GSM736607
3.006	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs3804795,rs2501276,rs2834655,rs12282	8	GSM736558,GSM736635
0.109	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2501276,rs2834655	9	GSM736525
1.732	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs8096445,rs2501276,rs2834655,rs12282	10	GSM736512,GSM736561
1.159	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs17290760,rs3804795,rs1322846,rs2501276,rs2834655	11	GSM816665,GSM736496,GSM736620
-0.858	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2834655	12	GSM816656
1.821	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17290760,rs2548621,rs12148329,rs2501276,rs2834655	13	GSM816657
-0.660	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2834655	14	GSM816653
0.534	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4469412,rs2501276,rs2834655	15	GSM816658
-0.101	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2834655,rs12282	16	GSM816659
0.221	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3804795,rs2834655,rs9380880	17	GSM816648
0.676	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs17290760,rs8096445,rs2834655	18	GSM736626,GSM736595
-0.927	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs4748153	19	GSM736501,GSM736492
0.624	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs3804795,rs8096445,rs1322846,rs2834655,rs12282	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.165	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs2834655,rs12282	21	GSM736604,GSM736529
0.831	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs4748153,rs3804795,rs1322846,rs2834655	22	GSM736592,GSM1024760
0.873	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs8096445,rs2834655	23	GSM736502,GSM1024792
-0.691	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs316274	24	GSM736583,GSM736505
-0.716	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17444059	25	GSM816638
2.118	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs17444059,rs316274,rs10489759,rs9608102,rs2834655,rs12282	26	GSM736509,GSM736554
1.505	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs17444059,rs316274,rs9608102,rs12282	27	GSM1024745,GSM1024747
0.779	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs316274,rs9608102,rs2834655	28	GSM736609,GSM736523
2.506	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs9959145,rs8096445,rs316274,rs1940973,rs2834655,rs12282	29	GSM736571,GSM736521
1.276	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs17444059,rs316274,rs12282	30	GSM736599,GSM736591
0.731	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs9959145,rs316274,rs9608102	31	GSM736577,GSM736573
