Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.211	0.231442633165944	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3753394	1	GSM816644
-0.462	0.0925566708457391	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2075799	2	Lookup
-1.063	0	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
-1.160	0	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
-0.015	0.173736095255153	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs3753394	5	Lookup
-1.050	8.68588553597002e-11	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
-0.970	4.82163733276643e-17	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.903	0	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-0.938	0	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-0.967	0	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
-0.220	0.130684912944707	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs241428	11	GSM816665,GSM736496,GSM736620
-1.441	0	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		12	GSM816656
-1.669	0	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		13	GSM816657
-0.988	4.34294517858653e-11	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
-0.331	0.112276154308132	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs241428	15	GSM816658
-1.258	0	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
-1.366	0	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		17	GSM816648
