Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.025	0.565277887933001	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs445,rs9880192	1	GSM816644
-1.448	4.82163733276643e-17	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig		2	Lookup
0.882	0.507236092922819	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs3859192,rs445	3	Lookup
-0.247	0.13717158809426	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs3859192	4	Lookup
3.526	2.247094102622	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs1449263,rs2814778,rs3859192,rs4328821,rs445	5	Lookup
-0.111	0.164702821795008	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12075	6	GSM816664
3.319	1.88978595525853	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs12075,rs2814778,rs3859192,rs445	7	GSM736607
1.526	0.77079288876605	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2814778,rs445	8	GSM736558,GSM736635
2.032	1.10850219316087	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs3859192,rs445,rs4895441	9	GSM736525
1.022	0.558638799459354	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs3859192,rs445	10	GSM736512,GSM736561
2.632	1.61820898091094	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs12075,rs3859192,rs4065321,rs445,rs4794822	11	GSM816665,GSM736496,GSM736620
1.366	0.745428179933279	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12075,rs2814778,rs4065321	12	GSM816656
2.343	1.22016111022491	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12075,rs2814778,rs3859192,rs4328821	13	GSM816657
-0.064	0.17523854480356	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3859192	14	GSM816653
2.217	1.27147194581468	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12075,rs2814778,rs3859192,rs4895441	15	GSM816658
-1.249	8.68588071433269e-11	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
0.328	0.30487535048753	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12075,rs4328821	17	GSM816648
0.833	0.482951096004257	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs3859192,rs445	18	GSM736626,GSM736595
-0.200	0.144417162047633	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs445	19	GSM736501,GSM736492
