Zscore	Cell	Tissue	File	SNPs	Number	Accession
4.349	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs2476601,rs1465788,rs6534347,rs4763879,rs3087243,rs1534422,rs6547853,rs947474,rs3024505,rs2292239	1	GSM701525
2.956	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs1465788,rs4763879,rs3184504,rs6547853,rs947474,rs3825932,rs3024505,rs10509540	2	GSM701526
3.633	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs763361,rs10137082,rs4763879,rs1534422,rs3184504,rs6547853,rs947474,rs3024505,rs6679677,rs11203203	3	GSM665837
1.763	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs1465788,rs4763879,rs3087243,rs3184504,rs6547853,rs947474,rs3024505,rs6679677,rs11203203	4	GSM701516
2.285	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs1465788,rs4763879,rs3087243,rs11171739,rs1534422,rs6547853,rs947474,rs3024505,rs425105,rs6897932	5	GSM701489
3.347	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs1465788,rs4763879,rs3087243,rs2290400,rs6547853,rs947474,rs3024505,rs6679677,rs2542151,rs11203203	6	GSM701491
2.204	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs1465788,rs4763879,rs1445898,rs6547853,rs947474,rs3825932,rs3024505,rs6679677	7	GSM665812
3.234	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs10517086,rs61839660,rs1465788,rs3087243,rs1534422,rs6547853,rs947474,rs3825932,rs3024505,rs6679677	8	GSM665839
3.029	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs1465788,rs4763879,rs1983853,rs3184504,rs6547853,rs947474,rs3024505,rs425105,rs6679677,rs9976767,rs4788084,rs11203203	9	GSM817166
3.464	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs10137082,rs1465788,rs4763879,rs6547853,rs947474,rs11258747,rs3024505,rs425105,rs9976767,rs11203203	10	GSM701539
1.048	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs1465788,rs4763879,rs924043,rs6547853,rs947474,rs3024505	11	GSM817160
3.965	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs229541,rs1465788,rs4763879,rs3087243,rs3764021,rs1534422,rs3184504,rs6547853,rs947474,rs3024505,rs6679677,rs9976767,rs11203203	12	GSM665813
1.447	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs4763879,rs6547853,rs947474,rs3024505,rs11203203	13	GSM665838
3.111	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs1465788,rs4763879,rs1534422,rs416603,rs6547853,rs947474,rs3825932,rs1265564,rs3024505,rs425105,rs6679677	14	GSM701499
2.482	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs1465788,rs4763879,rs6547853,rs947474,rs3024505,rs425105	15	GSM701540
0.942	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs6547853,rs947474,rs2304256,rs3024505	16	GSM701503
1.486	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs3087243,rs3184504,rs6547853,rs947474,rs3024505	17	GSM701541
0.742	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs1465788,rs947474,rs3825932,rs3024505,rs11203203	18	GSM701492
1.519	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs12708716,rs61839660,rs9272346,rs1465788,rs4763879,rs947474,rs3024505	19	GSM701493
1.233	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs9272346,rs1465788,rs4763879,rs947474,rs3825932,rs3024505	20	GSM701507
-0.330	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs10517086,rs6547853,rs7111341,rs1701704,rs4788084	21	GSM701500
0.087	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs6547853,rs947474,rs3024505	22	GSM530664
0.157	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs6547853,rs947474,rs3024505	23	GSM530658
1.483	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs1465788,rs6547853,rs947474,rs3024505,rs6679677	24	GSM530659
2.200	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS14206.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs2476601,rs4763879,rs6547853,rs947474,rs3024505,rs425105,rs6679677	25	GSM595919
0.639	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01508.DS11202.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs4763879,rs6547853,rs947474,rs3024505	26	GSM493386
2.059	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01517.DS14129.twopass.merge150.wgt10.zgt2.wig	rs61839660,rs2476601,rs1534422,rs6547853,rs947474,rs3024505,rs6679677	27	GSM595917
