Zscore	Cell	Tissue	File	SNPs	Number	Accession
1.562	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs4792909,rs2016266,rs4817775,rs9594738,rs9921222,rs7932354	1	GSM701525
2.112	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs9533090,rs7071206,rs13336428,rs4817775,rs9594738,rs7932354	2	GSM701526
0.926	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs17131547,rs4817775,rs9594738,rs9921222,rs7932354	3	GSM665837
0.781	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs4820539,rs4817775,rs2887571,rs1286083,rs9594738,rs9921222,rs7932354	4	GSM701516
0.746	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs4985155,rs4792909,rs4817775,rs227584,rs9594738,rs9921222,rs7932354	5	GSM701489
0.842	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs4817775,rs600231,rs1026364,rs9594738,rs9921222,rs7932354	6	GSM701491
1.648	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs2062377,rs2120461,rs2016266,rs4817775,rs600231,rs9594738,rs9921222,rs7932354	7	GSM665812
1.705	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs9533090,rs4792909,rs4817775,rs600231,rs9594738,rs9921222,rs7932354	8	GSM665839
-0.511	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs4792909,rs4817775,rs9921222,rs7932354	9	GSM817166
0.933	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs4817775,rs600231,rs9594738,rs9921222,rs7932354	10	GSM701539
2.426	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs4792909,rs2016266,rs7071206,rs4817775,rs9466056,rs9594738,rs9921222,rs7932354,rs11951031	11	GSM817160
1.464	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs17638544,rs2016266,rs7071206,rs4820539,rs4817775,rs227584,rs9594738,rs9921222,rs7932354	12	GSM665813
0.633	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs4817775,rs9594738,rs9921222,rs7932354	13	GSM665838
0.924	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs7017914,rs7071206,rs4817775,rs9594738,rs9921222,rs7932354	14	GSM701499
1.429	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs4817775,rs9594738,rs9921222,rs7932354	15	GSM701540
1.260	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs11623869,rs11602954,rs13336428,rs600231,rs7932354	16	GSM701503
0.566	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs4817775,rs600231,rs9594738,rs7932354	17	GSM701541
2.235	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs9533090,rs7071206,rs13336428,rs4817775,rs600231,rs9594738,rs9921222,rs7932354	18	GSM701492
2.862	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs9533090,rs4792909,rs2016266,rs4817775,rs600231,rs9594738,rs9921222,rs7932354,rs11951031	19	GSM701493
3.150	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs4985155,rs9533090,rs7071206,rs4817775,rs2887571,rs600231,rs9594738,rs7932354,rs11951031,rs1366594	20	GSM701507
2.000	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs3790160,rs7071206,rs4817775,rs2887571,rs344081,rs1286083,rs600231,rs884205,rs9594738,rs7932354	21	GSM701500
0.267	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs9594738,rs7932354,rs11951031	22	GSM530664
2.140	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs4817775,rs600231,rs7521902,rs9594738,rs7932354,rs4233949	23	GSM530658
0.990	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs4817775,rs600231,rs9594738,rs7932354	24	GSM530659
1.961	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS14206.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs4727338,rs4792909,rs4817775,rs600231,rs9594738,rs7932354	25	GSM595919
1.958	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01508.DS11202.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs8057551,rs13336428,rs4817775,rs600231,rs9594738,rs7932354	26	GSM493386
0.834	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01517.DS14129.twopass.merge150.wgt10.zgt2.wig	rs2120461,rs4817775,rs600231,rs9594738,rs7932354	27	GSM595917
2.920	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01520.DS12785.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs4985155,rs4792909,rs7017914,rs4817775,rs600231,rs9594738,rs9921222,rs7932354	28	GSM530660
1.307	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01527.DS11666.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs4817775,rs600231,rs7521902,rs9594738,rs7932354	29	GSM493387
0.510	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS12274.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs600231,rs9594738,rs7932354	30	GSM493384
1.268	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS14197.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs4792909,rs4817775,rs600231,rs9594738,rs7932354	31	GSM595918
0.856	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01536.DS12339.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs4817775,rs600231,rs9594738,rs7932354	32	GSM530652
1.190	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01549.DS12734.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs4817775,rs600231,rs9594738,rs9921222,rs7932354	33	GSM530657
1.466	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01562.DS13196.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs7017914,rs600231,rs9594738,rs7932354,rs11951031	34	GSM530663
1.863	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01701.DS17112.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs4817775,rs2887571,rs600231,rs7521902,rs9594738,rs7932354,rs11951031	35	GSM774208
2.726	CD56_Mobilised;	Blood	UW.Mobilized_CD56_Primary_Cells.ChromatinAccessibility.RO_01689.DS16376.twopass.merge150.wgt10.zgt2.wig	rs11623869,rs2908004,rs2120461,rs9533090,rs4792909,rs4817775,rs2887571,rs600231,rs9594738,rs9921222,rs7932354	36	GSM665820
1.645	CD56	Blood	UW.CD56_Primary_Cells.ChromatinAccessibility.RO_01679.DS17189.twopass.merge150.wgt10.zgt2.wig	rs4817775,rs600231,rs9594738,rs9921222,rs7932354	37	GSM665836
2.120	CD56	Blood	UW.CD56_Primary_Cells.ChromatinAccessibility.RO_01701.DS17443.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs4792909,rs4817775,rs7812088,rs1026364,rs9594738,rs9921222,rs7932354	38	GSM701508
2.414	Breast_vHMEC	Breast	UW.Breast_vHMEC.ChromatinAccessibility.RM035.DS18406.twopass.merge150.wgt10.zgt2.wig	rs7108738,rs2908004,rs736825,rs13336428,rs4796995,rs4817775,rs2887571,rs600231,rs7932354	39	GSM753973
1.097	Breast_vHMEC	Breast	UW.Breast_vHMEC.ChromatinAccessibility.RM035.DS18438.twopass.merge150.wgt10.zgt2.wig	rs7108738,rs2273061,rs2908004,rs13336428,rs4817775,rs600231,rs7932354	40	GSM753974
