Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.779	0.399849365477493	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs877529	1	GSM701525
2.081	0.998058393818034	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs4487645,rs877529	2	GSM701526
3.642	2.01293930085438	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs4487645,rs877529	3	GSM665837
2.633	1.45889682393187	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs4487645,rs877529	4	GSM701516
2.764	1.5093719978357	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs4487645,rs877529	5	GSM701489
3.286	1.75113650138997	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs4487645,rs877529	6	GSM701491
3.310	1.76653354188031	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs4487645,rs877529	7	GSM665812
3.391	1.85737645968101	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs4487645,rs877529	8	GSM665839
4.011	2.44865124347875	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs2285803,rs4487645,rs877529	9	GSM817166
3.292	1.75113650138997	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs10936599,rs4487645,rs877529	10	GSM701539
