Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.724	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6092078	1	GSM816644
0.017	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs888219,rs518590,rs11240594	2	Lookup
-0.582	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs6741819	3	Lookup
-0.572	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs6741819	4	Lookup
-0.086	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs286913,rs6741819	5	Lookup
-0.847	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs711355	6	GSM816664
0.396	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs6735179,rs6741819	7	GSM736607
-0.233	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs10888501	8	GSM736558,GSM736635
-1.381	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-1.600	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
-0.776	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs6741819,rs10888501	11	GSM816665,GSM736496,GSM736620
-0.989	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17100498	12	GSM816656
-1.142	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10888501	13	GSM816657
0.909	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17815774,rs11240594,rs10888501	14	GSM816653
-0.244	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6741819,rs10888501	15	GSM816658
-0.158	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17815774,rs6741819	16	GSM816659
-0.737	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17815774,rs17216786	17	GSM816648
-0.636	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs6741819	18	GSM736626,GSM736595
-1.489	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
-0.338	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs286913,rs6741819,rs10888501	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.579	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs6741819	21	GSM736604,GSM736529
