Zscore	Cell	Tissue	File	SNPs	Number	Accession
1.616	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs593982,rs9923856	1	GSM816644
3.640	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs7613051,rs479844,rs7927894,rs4821544,rs10995251,rs9923856	2	Lookup
1.342	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs479844,rs4821544,rs10995251	3	Lookup
1.159	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs479844,rs4821544	4	Lookup
0.305	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs13015714,rs4821544	5	Lookup
-0.592	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4821544	6	GSM816664
0.700	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs7927894,rs4821544	7	GSM736607
1.816	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs4821544,rs9923856	8	GSM736558,GSM736635
1.480	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs4821544,rs10995251	9	GSM736525
2.678	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs4821544,rs10995251,rs9923856	10	GSM736512,GSM736561
0.519	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs479844,rs4821544	11	GSM816665,GSM736496,GSM736620
-0.188	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs4821544	12	GSM816656
0.908	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs2164983,rs7927894,rs4821544	13	GSM816657
1.528	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs479844,rs4821544	14	GSM816653
1.402	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs7613051,rs479844,rs4821544	15	GSM816658
0.251	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs479844,rs4821544	16	GSM816659
1.196	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs4722404,rs479844,rs4821544	17	GSM816648
-0.458	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs4821544	18	GSM736626,GSM736595
-1.265	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
0.962	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs7613051,rs479844,rs4821544	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.768	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs4821544,rs10995251	21	GSM736604,GSM736529
1.653	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs13015714,rs479844,rs4821544	22	GSM736592,GSM1024760
4.909	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs13015714,rs7613051,rs479844,rs7815944,rs7927894,rs4821544	23	GSM736502,GSM1024792
-1.181	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-1.276	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
-1.220	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig		26	GSM736509,GSM736554
-1.331	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig		27	GSM1024745,GSM1024747
-0.225	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs4821544	28	GSM736609,GSM736523
-0.490	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs7927894	29	GSM736571,GSM736521
-1.069	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig		30	GSM736599,GSM736591
-0.339	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs4722404	31	GSM736577,GSM736573
-0.264	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs4821544	32	GSM736611,GSM736624
-1.397	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig		33	GSM736542,GSM736511
-1.309	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig		34	GSM736507,GSM736627
0.502	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs1295686,rs479844	35	GSM1024763
