Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.697	0.967145666468016	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094,rs653178,rs881858	1	GSM816644
0.588	0.418137651781131	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094,rs7805747,rs911119	2	Lookup
1.499	0.85008489673715	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs267734,rs6420094,rs881858,rs911119	3	Lookup
0.610	0.419448982997314	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs267734,rs6420094	4	Lookup
0.584	0.414667182170296	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094,rs881858	5	Lookup
2.380	1.35201897428038	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs1260326,rs12917707,rs6420094,rs6431731	6	GSM816664
1.884	1.03504377812747	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094,rs881858,rs911119	7	GSM736607
1.250	0.688110321767355	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094,rs881858	8	GSM736558,GSM736635
1.918	1.07184226476933	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs12917707,rs6420094,rs653178	9	GSM736525
1.058	0.619418744512336	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094,rs653178	10	GSM736512,GSM736561
0.758	0.500641596357131	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094,rs6431731,rs7805747	11	GSM816665,GSM736496,GSM736620
1.447	0.782631381282807	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs1260326,rs13538,rs6420094,rs911119	12	GSM816656
1.205	0.664602528019099	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs1260326,rs13538,rs6420094,rs881858	13	GSM816657
2.351	1.36321079779082	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs1260326,rs12917707,rs6420094,rs6431731	14	GSM816653
0.932	0.555215413055595	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs1260326,rs6420094,rs881858	15	GSM816658
-0.288	0.151186942058593	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094	16	GSM816659
2.265	1.26611301153219	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10774021,rs10794720,rs1260326,rs17319721,rs6420094,rs7805747	17	GSM816648
1.444	0.817002471409676	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094,rs881858,rs911119	18	GSM736626,GSM736595
0.139	0.257926855567633	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094	19	GSM736501,GSM736492
1.912	1.09017439019711	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094,rs6431731,rs653178,rs7805747,rs881858	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
1.055	0.603967775933428	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094,rs881858	21	GSM736604,GSM736529
0.923	0.557010925564375	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094,rs6431731,rs7805747	22	GSM736592,GSM1024760
0.318	0.310785445505426	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094	23	GSM736502,GSM1024792
1.206	0.704933747530318	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs17319721,rs6420094,rs881858	24	GSM736583,GSM736505
2.066	1.21585880594368	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs17319721,rs6420094,rs881858	25	GSM816638
2.259	1.42585461004557	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs17319721,rs6420094,rs653178,rs881858	26	GSM736509,GSM736554
1.737	0.998393221380458	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs17319721,rs6420094,rs6431731	27	GSM1024745,GSM1024747
1.054	0.636330489675989	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs17319721,rs6420094	28	GSM736609,GSM736523
