Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.886	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs7129220,rs17608766	1	GSM816644
-0.154	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs1378942,rs2932538	2	Lookup
0.740	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs2932538,rs13082711	3	Lookup
2.265	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs1378942,rs2521501,rs2932538,rs17608766	4	Lookup
2.061	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs7129220,rs2681492,rs2932538,rs17608766	5	Lookup
-0.190	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs932764	6	GSM816664
1.886	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs2932538,rs3184504,rs17608766	7	GSM736607
0.456	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs2932538	8	GSM736558,GSM736635
0.171	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs2932538,rs3184504	9	GSM736525
0.102	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs2932538	10	GSM736512,GSM736561
0.524	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs1004467,rs2932538,rs3184504	11	GSM816665,GSM736496,GSM736620
-0.573	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs12046278	12	GSM816656
-0.231	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs12046278,rs12946454	13	GSM816657
-0.646	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504	14	GSM816653
0.044	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs1004467,rs2932538	15	GSM816658
-0.419	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs932764	16	GSM816659
-0.681	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1004467,rs17608766	17	GSM816648
2.146	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs1378942,rs2932538,rs3184504,rs17608766	18	GSM736626,GSM736595
0.258	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs2932538	19	GSM736501,GSM736492
1.584	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs2681492,rs1004467,rs381815,rs2932538,rs17608766	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.666	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs2932538	21	GSM736604,GSM736529
0.734	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs1004467,rs2932538,rs3184504	22	GSM736592,GSM1024760
0.329	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs2932538	23	GSM736502,GSM1024792
1.871	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs7129220,rs2932538,rs17608766,rs1173771	24	GSM736583,GSM736505
3.094	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7129220,rs11191548,rs6015450,rs1378942,rs17608766,rs1173771	25	GSM816638
