Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.892	0.911650911076682	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs20541,rs3806624	1	GSM816644
1.039	0.498086974895839	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs20541,rs501764	2	Lookup
-0.963	4.3429403569492e-11	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
4.042	2.45073547925484	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1432295,rs20541,rs3806624,rs501764	4	Lookup
4.141	2.41372037704576	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs1432295,rs3806624,rs501764,rs7745098	5	Lookup
3.041	1.55445303864339	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1432295,rs3806624,rs501764	6	GSM816664
0.479	0.298899436274816	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs7745098	7	GSM736607
5.024	2.95545769185862	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs1432295,rs20541,rs3806624,rs501764	8	GSM736558,GSM736635
0.595	0.342147558342299	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs1432295	9	GSM736525
3.273	1.78607288699585	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs1432295,rs20541,rs3806624	10	GSM736512,GSM736561
2.420	1.24333449762958	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs1432295,rs20541,rs3806624	11	GSM816665,GSM736496,GSM736620
3.633	1.9596453693429	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1432295,rs20541,rs3806624,rs501764	12	GSM816656
2.229	1.01848922422164	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1432295,rs3806624,rs501764	13	GSM816657
3.075	1.57855884232514	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1432295,rs20541,rs3806624	14	GSM816653
3.642	2.09283142824346	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1432295,rs20541,rs3806624,rs501764	15	GSM816658
2.750	1.38622616056934	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1432295,rs3806624,rs501764	16	GSM816659
2.287	1.17690951885946	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1432295,rs3806624,rs501764	17	GSM816648
0.389	0.27635797499972	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs7745098	18	GSM736626,GSM736595
-0.840	0	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
2.253	1.18674648816823	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs1432295,rs3806624,rs7745098	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.844	0	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig		21	GSM736604,GSM736529
3.664	2.17201055538893	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs1432295,rs3806624,rs501764,rs7745098	22	GSM736592,GSM1024760
2.099	0.950877072251668	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs3806624,rs501764	23	GSM736502,GSM1024792
-0.754	0	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
