Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
2.373	1.43484444704449	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4979462,rs6441286,rs6890853,rs860413,rs911263	1	GSM816644
0.979	0.586058196360328	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11117432,rs12924729,rs3745516,rs485499,rs538147	2	Lookup
0.716	0.477123116717816	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs11117432,rs4979462,rs911263	3	Lookup
2.052	1.20311058044955	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs11117432,rs12924729,rs6421571,rs6441286,rs911263	4	Lookup
0.483	0.380344076781446	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs12924729,rs485499,rs911263	5	Lookup
1.251	0.746778902997278	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12924729,rs1800693,rs4979462,rs538147	6	GSM816664
0.185	0.268442979677095	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs3745516,rs485499	7	GSM736607
6.448	5.0171817196386	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs10931468,rs11117432,rs12924729,rs2293370,rs3745516,rs485499,rs4938534,rs6441286,rs6890853	8	GSM736558,GSM736635
2.772	1.64737787031132	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs10931468,rs485499,rs6441286,rs911263,rs9303277	9	GSM736525
4.349	2.93984298517471	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs10931468,rs11117432,rs485499,rs4938534,rs6421571,rs6441286,rs6890853	10	GSM736512,GSM736561
2.696	1.66298583202121	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs12924729,rs2293370,rs3745516,rs485499,rs4938534,rs538147,rs911263	11	GSM816665,GSM736496,GSM736620
-0.847	0.0684040188282741	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12924729,rs485499	12	GSM816656
-0.364	0.149620114443631	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11117432,rs12924729,rs1800693	13	GSM816657
