Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.771	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13194984,rs2698530,rs10047462	1	GSM816644
1.308	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13194984,rs4516970,rs2698530,rs1867504,rs10047462	2	Lookup
0.624	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs4516970,rs2698530,rs1800562	3	Lookup
1.302	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs855791,rs987710,rs1800562,rs10047462	4	Lookup
-0.173	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs4516970,rs10047462	5	Lookup
-1.690	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
1.020	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs13194984,rs10047462,rs236918	7	GSM736607
0.491	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs1408272,rs1800562	8	GSM736558,GSM736635
-0.470	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs1408272	9	GSM736525
0.164	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs4516970,rs1408272	10	GSM736512,GSM736561
-0.057	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs4820268,rs1408272,rs3811647	11	GSM816665,GSM736496,GSM736620
-2.002	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		12	GSM816656
-1.741	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs855791	13	GSM816657
0.653	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1408272,rs10047462,rs236918	14	GSM816653
0.013	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13194984,rs1799852,rs10047462	15	GSM816658
0.346	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs855791,rs4516970,rs3811647	16	GSM816659
1.166	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4820268,rs2718812,rs855791,rs4516970,rs236918	17	GSM816648
-1.617	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig		18	GSM736626,GSM736595
-0.624	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs10047462	19	GSM736501,GSM736492
-0.176	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs4820268,rs1408272,rs3811647	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
