Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.204	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7727102,rs13064588,rs6952808,rs2276498,rs10929808,rs11789399	1	GSM816644
0.102	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10815468,rs4822752,rs2235121,rs6986718,rs6459804,rs12444931,rs830407,rs1107592,rs7248363	2	Lookup
-0.118	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs7386474,rs173896,rs4332358,rs252817,rs181500	3	Lookup
1.435	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs4822752,rs11156606,rs17002034,rs173896,rs10929808,rs12282742,rs2524005,rs913246	4	Lookup
-0.879	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs7386474,rs4822752,rs252817,rs2058710	5	Lookup
2.221	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4822752,rs13064588,rs17764205,rs1484642,rs6459804,rs2018368,rs915071,rs2058710,rs6046396,rs2398668,rs1107592	6	GSM816664
-1.678	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs4822752	7	GSM736607
0.308	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs4822752,rs252817,rs2398668,rs11880706	8	GSM736558,GSM736635
-0.821	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs4822752,rs6986718,rs173896	9	GSM736525
-1.446	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs4822752,rs173896	10	GSM736512,GSM736561
-2.249	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs4822752,rs173896,rs12282742	11	GSM816665,GSM736496,GSM736620
-0.145	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4822752,rs767770,rs2424635,rs2018368,rs2058710,rs2398668,rs1107592	12	GSM816656
-2.332	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4822752,rs6459804,rs2398668	13	GSM816657
0.337	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4822752,rs173896,rs12201676,rs2018368,rs2058710,rs1107592	14	GSM816653
-2.219	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4822752,rs6024905	15	GSM816658
-1.022	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4822752,rs17069122,rs915071,rs2398668	16	GSM816659
0.112	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4822752,rs12201676,rs6459804,rs7465272,rs12282742,rs2018368,rs2524005,rs2044117,rs2774292	17	GSM816648
-0.823	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs1106634,rs4822752,rs6952808,rs7248363	18	GSM736626,GSM736595
0.282	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs4822752,rs2235121,rs252817,rs12003180,rs915071,rs913246	19	GSM736501,GSM736492
-2.649	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs4822752,rs830407,rs181500	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.446	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs10815468,rs6952808,rs134882,rs2058710	21	GSM736604,GSM736529
