Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-1.415	0	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		1	GSM816644
-1.429	0.015852169793598	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs157580	2	Lookup
-0.725	0.0632239033313616	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs2075650	3	Lookup
0.075	0.233149121648494	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs157580,rs2075650	4	Lookup
-0.805	0.0565861081086067	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs157580	5	Lookup
0.059	0.228037419708853	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs157580,rs2075650	6	GSM816664
-0.492	0.095131678517169	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs4420638	7	GSM736607
-1.335	0	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
0.628	0.414887306523757	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs157580,rs744373	9	GSM736525
0.454	0.349132100254585	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs157580,rs4420638	10	GSM736512,GSM736561
-0.290	0.143611237787814	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs157580,rs2075650	11	GSM816665,GSM736496,GSM736620
0.834	0.495609375215693	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs157580,rs6859,rs744373,rs75932628	12	GSM816656
-0.231	0.170816571078864	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2075650,rs6859,rs75932628	13	GSM816657
-1.484	0	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
-1.984	4.34294517858653e-11	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		15	GSM816658
-1.784	8.68589517924469e-11	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
-0.470	0.112850041660965	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs157580,rs744373	17	GSM816648
0.173	0.257766380746898	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs157580,rs2075650	18	GSM736626,GSM736595
0.493	0.363948095510479	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs157580,rs4420638	19	GSM736501,GSM736492
-1.084	0.0304489848309543	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs2075650	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.478	0.097035272967144	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs17817600	21	GSM736604,GSM736529
-0.967	0.0369857573573569	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2075650	22	GSM736592,GSM1024760
-1.301	4.3429403569492e-11	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig		23	GSM736502,GSM1024792
-1.204	4.34294517858653e-11	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-1.215	0	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
-1.254	0	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig		26	GSM736509,GSM736554
-0.522	0.0884450148294691	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs75932628	27	GSM1024745,GSM1024747
-1.283	4.34294517858653e-11	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig		28	GSM736609,GSM736523
-1.335	0	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig		29	GSM736571,GSM736521
-1.122	4.82163733276643e-17	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig		30	GSM736599,GSM736591
-0.414	0.106381497933791	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs6859	31	GSM736577,GSM736573
-0.411	0.107315208073133	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs6859	32	GSM736611,GSM736624
-1.283	4.34294517858653e-11	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig		33	GSM736542,GSM736511
-0.441	0.101091253679362	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs157580	34	GSM736507,GSM736627
0.286	0.298152261156962	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs6859,rs744373	35	GSM1024763
-1.261	0	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig		36	GSM736555,GSM736614
-0.209	0.162660781121655	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs2075650,rs610932	37	GSM816646,GSM736575,GSM736533
0.314	0.310395228901209	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs157580,rs2075650,rs3818361,rs610932	38	Lookup
-1.332	0	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig		39	Lookup
-1.018	0.0346249066779081	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs75932628	40	GSM816668
-0.049	0.209408500284153	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs610932,rs6859,rs744373	41	GSM816636
-0.979	4.34295000022386e-11	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig		42	GSM736522,GSM736570
-0.204	0.148190900644495	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs3764650	43	GSM1008585
-1.399	0	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig		44	GSM736594,GSM736535
-1.071	0.0295659694270598	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs2075650	45	GSM816669,GSM736634,GSM736552
-1.123	0	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig		46	GSM736628,GSM736541
-0.223	0.158479411651676	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs2075650,rs6859	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
1.450	0.816264250566538	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs157580,rs2075650,rs6859,rs744373	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.039	0.20257686118583	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2075650,rs6859	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
-1.239	0	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig		50	GSM736586,GSM736538
-1.085	0.0290270910397557	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs2075650	51	GSM816633,GSM816643,GSM736564,GSM736510
-1.415	0	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		52	GSM816633,GSM816643,GSM736564,GSM736510
