Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.969	0.456521791897538	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs439401	1	GSM816644
1.822	0.820081695481401	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13702,rs9987289	2	Lookup
0.868	0.414511070015506	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs439401	3	Lookup
-0.788	0	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
0.741	0.376575745475617	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs439401	5	Lookup
0.842	0.404895262053081	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs439401	6	GSM816664
1.081	0.490480897344999	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs439401	7	GSM736607
-0.640	0	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-0.661	0	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-0.676	0	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
0.508	0.309770753282076	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs439401	11	GSM816665,GSM736496,GSM736620
0.490	0.294116424669199	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs439401	12	GSM816656
0.487	0.288041935479987	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs439401	13	GSM816657
-0.751	0	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
0.564	0.315399699999902	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs439401	15	GSM816658
2.172	1.01736383022257	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs439401,rs9987289	16	GSM816659
1.981	0.933415387860566	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs439401,rs9987289	17	GSM816648
0.767	0.387281941336197	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs439401	18	GSM736626,GSM736595
-0.658	0	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
0.434	0.288504438289311	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs439401	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.704	4.82163733276643e-17	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig		21	GSM736604,GSM736529
0.579	0.333097536936584	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs439401	22	GSM736592,GSM1024760
1.046	0.479049505436836	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs439401	23	GSM736502,GSM1024792
1.111	0.499339511622873	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs439401	24	GSM736583,GSM736505
0.987	0.462663877220429	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs439401	25	GSM816638
0.961	0.453072041890511	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs439401	26	GSM736509,GSM736554
1.041	0.47257039488679	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs439401	27	GSM1024745,GSM1024747
1.093	0.497351079103127	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs439401	28	GSM736609,GSM736523
0.799	0.404895262053081	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs439401	29	GSM736571,GSM736521
-0.603	0	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig		30	GSM736599,GSM736591
1.010	0.470746512007416	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs439401	31	GSM736577,GSM736573
-0.671	0	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig		32	GSM736611,GSM736624
-0.687	0	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig		33	GSM736542,GSM736511
1.023	0.47257039488679	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs439401	34	GSM736507,GSM736627
1.104	0.493405894814169	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs439401	35	GSM1024763
0.973	0.463553149086252	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs439401	36	GSM736555,GSM736614
0.468	0.304768836037992	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs439401	37	GSM816646,GSM736575,GSM736533
0.199	0.221429835035035	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs439401	38	Lookup
1.054	0.47257039488679	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs439401	39	Lookup
0.720	0.360029446330012	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs439401	40	GSM816668
-0.998	0	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		41	GSM816636
-0.598	0	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig		42	GSM736522,GSM736570
1.552	0.617285961878606	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs439401	43	GSM1008585
0.735	0.385241821143478	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs439401	44	GSM736594,GSM736535
0.435	0.288504438289311	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs439401	45	GSM816669,GSM736634,GSM736552
1.132	0.518905678138544	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs439401	46	GSM736628,GSM736541
0.552	0.322219287246682	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs439401	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
2.309	1.0577542271352	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2954026,rs439401	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
2.217	1.04014521850842	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2954026,rs439401	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
0.966	0.466231380915921	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig	rs439401	50	GSM736586,GSM736538
0.383	0.275919516724419	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs439401	51	GSM816633,GSM816643,GSM736564,GSM736510
-0.678	4.82163733276643e-17	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		52	GSM816633,GSM816643,GSM736564,GSM736510
1.101	0.452213217702612	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig	rs439401	53	GSM736500,GSM736587
1.293	0.553634507922993	HCT-116	Colon	HCT116-DS13551.twopass.merge150.wgt10.zgt2.wig	rs439401	54	GSM736600,GSM736493
0.980	0.470746512007416	HVMF	Connective	HVMF-DS13981.twopass.merge150.wgt10.zgt2.wig	rs439401	55	GSM736534,GSM736491
1.065	0.487583184121568	WI-38	Embryonic lung	WI_38-DS14315.twopass.merge150.wgt10.zgt2.wig	rs439401	56	GSM736613,GSM736526,GSM736613,GSM736526
0.709	0.37789024261287	WI-38	Embryonic lung	WI_38_TAM-DS14323.twopass.merge150.wgt10.zgt2.wig	rs439401	57	GSM736613,GSM736526,GSM736613,GSM736526
0.509	0.313337390325128	A549	Epithelium	A549-all.twopass.merge150.wgt10.zgt2.wig	rs439401	58	GSM816649,GSM736580,GSM736506
1.031	0.476256733846539	HAEpiC	Epithelium	HAEpiC-DS12663.twopass.merge150.wgt10.zgt2.wig	rs439401	59	GSM736631,GSM736606
0.944	0.45565821938922	HCPEpiC	Epithelium	HCPEpiC-DS12447.twopass.merge150.wgt10.zgt2.wig	rs439401	60	GSM736569,GSM736597
1.100	0.488548012329105	HEEpiC	Epithelium	HEEpiC-DS12763.twopass.merge150.wgt10.zgt2.wig	rs439401	61	GSM736585,GSM736532
0.982	0.456521791897538	HIPEpiC	Epithelium	HIPEpiC-DS12684.twopass.merge150.wgt10.zgt2.wig	rs439401	62	GSM736589,GSM736615
1.043	0.479049505436836	HNPCEpiC	Epithelium	HNPCEpiC-DS12467.twopass.merge150.wgt10.zgt2.wig	rs439401	63	GSM736621,GSM736550
1.064	0.488548012329105	HPdLF	Epithelium	HPdLF-DS13573.twopass.merge150.wgt10.zgt2.wig	rs439401	64	GSM736632,GSM736528
1.151	0.52103489727385	HRCEpiC	Epithelium	HRCE-DS10666.twopass.merge150.wgt10.zgt2.wig	rs439401	65	GSM736549,GSM736557
1.331	0.571866258974556	HRE	Epithelium	HRE-DS10641.twopass.merge150.wgt10.zgt2.wig	rs439401	66	GSM736527,GSM736548
0.988	0.46533421342984	HRPEpiC	Epithelium	HRPEpiC-DS12583.twopass.merge150.wgt10.zgt2.wig	rs439401	67	GSM736630,GSM736623
1.750	0.793035471289815	pHTE	Epithelium	wgEncodeOpenChromDnasePhteAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10790162,rs439401	68	GSM816647
1.224	0.542023143432463	RPTEC	Epithelium	RPTEC-DS14061.twopass.merge150.wgt10.zgt2.wig	rs439401	69	GSM736543,GSM736539
1.149	0.505387682073445	SAEC	Epithelium	SAEC-DS10518.twopass.merge150.wgt10.zgt2.wig	rs439401	70	GSM736608,GSM736617
0.444	0.28529175342703	HESC	ES Cell	HESC-all.twopass.merge150.wgt10.zgt2.wig	rs439401	71	Lookup
0.856	0.419060370951426	hESCT0	ES Cell	hESCT0-DS11909.twopass.merge150.wgt10.zgt2.wig	rs439401	72	Lookup
0.836	0.401284280591098	H9ES	ES Cell	wgEncodeOpenChromDnaseH9esAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs439401	73	GSM816629
1.066	0.48662135130529	HConF	Eye	HConF-DS11642.twopass.merge150.wgt10.zgt2.wig	rs439401	74	GSM736547,GSM736515
-0.649	0	WERI-Rb-1	Eye	WERI_Rb1-DS13681.twopass.merge150.wgt10.zgt2.wig		75	GSM736495,GSM736636
0.421	0.276797292120502	Chorion	Fetal membrane	wgEncodeOpenChromDnaseChorionAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs439401	76	GSM816628
0.885	0.422130729573706	HFF	Foreskin	HFF-DS15115.twopass.merge150.wgt10.zgt2.wig	rs439401	77	GSM736602,GSM736572
0.825	0.401284280591098	HFF-Myc	Foreskin	HFF_MyC-DS15079.twopass.merge150.wgt10.zgt2.wig	rs439401	78	GSM736524,GSM736605
1.454	0.606042006182387	AG09319	Gingival	AG09319-DS12291.twopass.merge150.wgt10.zgt2.wig	rs439401	79	GSM736531,GSM736619
1.328	0.570624058071689	HGF	Gingival	HGF-DS11752.twopass.merge150.wgt10.zgt2.wig	rs439401	80	GSM736579,GSM736576
0.842	0.425238840750496	HCFaa	Heart	HCFaa-DS13480.twopass.merge150.wgt10.zgt2.wig	rs439401	81	GSM736494,GSM736601
