Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
3.422	2.14046394381912	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs1408272,rs2858942,rs470119	1	GSM701525
4.750	3.34035681652642	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs1800562,rs2858942,rs470119,rs4916483,rs6494537	2	GSM701526
2.451	1.4159252060813	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs3218097,rs4916483	3	GSM665837
2.066	1.22844693997385	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs2858942,rs3218097,rs470119	4	GSM701516
2.007	1.22560530866408	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs2858942,rs3218097,rs470119	5	GSM701489
1.034	0.611851873882107	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs470119	6	GSM701491
1.025	0.623581094126171	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs2858942	7	GSM665812
3.788	2.48789314846232	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs1122794,rs11915082,rs2858942,rs3218097,rs470119	8	GSM665839
4.389	3.11078892039026	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs10758658,rs11085824,rs11915082,rs12127588,rs2413450,rs3218097,rs470119,rs4916483	9	GSM817166
1.203	0.699614979296667	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs470119	10	GSM701539
1.694	0.954768310508439	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs2413450,rs2858942	11	GSM817160
2.655	1.71106026095744	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs2858942,rs3218097,rs470119,rs4916483	12	GSM665813
1.632	0.89812424140117	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs3218097	13	GSM665838
2.645	1.56623634541775	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs1122794,rs11915082,rs2858942,rs3218097	14	GSM701499
5.300	3.69659484016109	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs1211375,rs2858942,rs3218097,rs470119,rs4916483	15	GSM701540
0.396	0.341382304285589	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082	16	GSM701503
0.646	0.422727400007429	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082	17	GSM701541
1.688	0.923219003449171	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs1800562,rs470119	18	GSM701492
1.102	0.630540941757199	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs1800562	19	GSM701493
3.306	2.06727330201447	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs12127588,rs1800562,rs470119,rs4916483	20	GSM701507
0.680	0.459451234584669	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs7085433	21	GSM701500
1.351	0.763812804025278	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs4916483	22	GSM530664
0.414	0.342697999107655	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082	23	GSM530658
1.409	0.784173317521989	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs4916483	24	GSM530659
2.940	1.81788059123357	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS14206.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs4916483,rs7203560,rs9399137	25	GSM595919
1.319	0.745909129719513	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01508.DS11202.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs855791	26	GSM493386
0.545	0.392582974067484	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01517.DS14129.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082	27	GSM595917
2.068	1.1566757324837	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01520.DS12785.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs1122794,rs11915082,rs4916483	28	GSM530660
2.011	1.17051252407412	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01527.DS11666.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082,rs470119,rs7085433	29	GSM493387
0.528	0.378266749675915	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS12274.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082	30	GSM493384
0.446	0.358246369970949	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS14197.twopass.merge150.wgt10.zgt2.wig	rs11085824,rs11915082	31	GSM595918
