Zscore	Cell	Tissue	File	SNPs	Number	Accession
1.212	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17832777,rs3751143,rs7953249,rs1265093	1	GSM816644
-0.516	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2077224,rs13181561,rs1265093	2	Lookup
0.336	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs3741240,rs1265093	3	Lookup
1.056	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs3130559,rs1923539,rs7953249	4	Lookup
-1.025	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs13181561	5	Lookup
0.730	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8048576,rs3751143,rs7953249,rs7078012	6	GSM816664
-0.798	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs13181561	7	GSM736607
-1.412	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-0.828	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs4468361	9	GSM736525
-0.837	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs4508864	10	GSM736512,GSM736561
-1.000	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs4508864,rs4468361	11	GSM816665,GSM736496,GSM736620
0.614	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs8048576,rs3751143,rs1265093,rs954820	12	GSM816656
1.522	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs8048576,rs3751143,rs4468361,rs7953249,rs1265093,rs954820	13	GSM816657
-1.671	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
1.266	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs3741240,rs3751143,rs4468361,rs1265093,rs954820	15	GSM816658
-1.295	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3130559	16	GSM816659
-1.052	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3130559,rs1265093	17	GSM816648
-0.996	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs13181561	18	GSM736626,GSM736595
-0.171	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs4468361	19	GSM736501,GSM736492
0.113	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs6667220,rs4508864,rs3130559,rs4468361	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-1.009	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs13181561	21	GSM736604,GSM736529
1.037	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2077224,rs13181561,rs4508864,rs4468361,rs954820	22	GSM736592,GSM1024760
-0.511	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs13181561	23	GSM736502,GSM1024792
-1.470	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-1.318	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
-1.691	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig		26	GSM736509,GSM736554
-1.697	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig		27	GSM1024745,GSM1024747
-1.582	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig		28	GSM736609,GSM736523
