Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.038	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3764628,rs4703516	1	GSM816644
0.764	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs742071,rs642961,rs3764628,rs212016	2	Lookup
0.187	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs861020,rs3764628	3	Lookup
0.094	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs13542,rs3764628	4	Lookup
1.368	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs742071,rs7590268,rs13542,rs3764628	5	Lookup
0.159	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3764628,rs17138064	6	GSM816664
1.568	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs742071,rs13542,rs3764628	7	GSM736607
-0.191	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs3764628	8	GSM736558,GSM736635
-0.495	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs3764628	9	GSM736525
1.045	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs4132699,rs642961,rs3764628	10	GSM736512,GSM736561
0.214	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs3764628,rs17079928,rs813218	11	GSM816665,GSM736496,GSM736620
-1.050	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3764628	12	GSM816656
0.281	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13542,rs642961,rs3764628	13	GSM816657
1.659	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs742071,rs1258763,rs3764628,rs4703516	14	GSM816653
-1.106	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3764628	15	GSM816658
-0.033	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13542,rs3764628	16	GSM816659
1.407	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13542,rs3764628,rs10905099,rs1873147,rs10174126	17	GSM816648
0.210	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs4132699,rs3764628	18	GSM736626,GSM736595
3.231	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs742071,rs4132699,rs3764628,rs212016,rs560426,rs10905099	19	GSM736501,GSM736492
-0.105	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs3764628,rs17079928,rs813218	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
1.884	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs742071,rs13542,rs3764628,rs10905099	21	GSM736604,GSM736529
1.929	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs742071,rs3764628,rs212016,rs17079928,rs813218	22	GSM736592,GSM1024760
1.699	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs4132699,rs3764628,rs212016	23	GSM736502,GSM1024792
-0.647	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs3764628	24	GSM736583,GSM736505
-0.648	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3764628	25	GSM816638
0.550	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs987525,rs13542,rs3764628	26	GSM736509,GSM736554
0.225	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs3764628,rs813218	27	GSM1024745,GSM1024747
0.258	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs861020,rs3764628	28	GSM736609,GSM736523
1.526	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs861020,rs642961,rs3764628,rs813218	29	GSM736571,GSM736521
1.362	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs7590268,rs3764628,rs813218	30	GSM736599,GSM736591
0.217	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs7590268,rs3764628	31	GSM736577,GSM736573
