Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.047	0.565280412982761	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs58370486,rs72832584	1	GSM816644
0.073	0.230187501685712	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11023139,rs115102486	2	Lookup
-0.012	0.187195108584583	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs58370486	3	Lookup
-1.025	4.82163733276643e-17	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
-0.035	0.18173911560683	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs58370486	5	Lookup
-0.254	0.134226651951495	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs115102486	6	GSM816664
-0.937	0	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.923	4.3429403569492e-11	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
0.292	0.264649895354841	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs11023139	9	GSM736525
0.276	0.260832039575799	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs11023139	10	GSM736512,GSM736561
-0.372	0.113244630767314	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs11023139	11	GSM816665,GSM736496,GSM736620
-0.712	0.0670078197776563	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs115102486	12	GSM816656
-0.122	0.182427296213617	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs112724034,rs115102486	13	GSM816657
-0.065	0.174831640944926	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11023139	14	GSM816653
0.327	0.299344585575874	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs115102486,rs117964204	15	GSM816658
-1.293	4.82163733276643e-17	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
-1.505	0	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		17	GSM816648
0.062	0.205031778353743	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs58370486	18	GSM736626,GSM736595
0.234	0.253037492242846	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs11023139	19	GSM736501,GSM736492
0.322	0.306212663813923	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs11023139,rs58370486	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.212	0.245535695927169	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs58370486	21	GSM736604,GSM736529
-0.365	0.11295729093949	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs11023139	22	GSM736592,GSM1024760
-0.889	0	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig		23	GSM736502,GSM1024792
0.372	0.290887405212296	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs58370486	24	GSM736583,GSM736505
0.366	0.290887405212296	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs58370486	25	GSM816638
0.139	0.225266959011393	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs58370486	26	GSM736509,GSM736554
-1.044	4.3429403569492e-11	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig		27	GSM1024745,GSM1024747
0.305	0.271307738705871	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs58370486	28	GSM736609,GSM736523
-0.984	0	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig		29	GSM736571,GSM736521
-0.760	0	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig		30	GSM736599,GSM736591
-0.970	0	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig		31	GSM736577,GSM736573
-0.906	0	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig		32	GSM736611,GSM736624
