Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.893	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3798722,rs807669,rs12051548,rs6511720,rs117616209	1	GSM816644
-0.377	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs261342,rs4788815,rs10830963,rs807669,rs478093,rs2657880,rs4775041,rs7232775,rs6511720,rs10127775,rs117616209	2	Lookup
0.147	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs807669,rs478093,rs499368,rs2280401,rs6900341,rs6511720,rs117616209,rs2738446	3	Lookup
0.712	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs807669,rs478093,rs2280401,rs2286963,rs10889332,rs712964,rs7232775,rs6511720,rs117616209,rs2738446	4	Lookup
-0.222	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs261342,rs478093,rs16939881,rs2280401,rs10889332,rs6511720,rs117616209,rs2738446	5	Lookup
-0.682	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs478093,rs4841132,rs2108622,rs712964,rs117616209	6	GSM816664
-0.191	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs261342,rs478093,rs4345897,rs2280401,rs6511720,rs117616209	7	GSM736607
-1.600	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs478093,rs117616209	8	GSM736558,GSM736635
-0.673	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs478093,rs2657880,rs10889332,rs6511720,rs117616209	9	GSM736525
-0.456	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs4351,rs2657880,rs2280401,rs10889332,rs6511720,rs117616209	10	GSM736512,GSM736561
1.176	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs261342,rs9309473,rs807669,rs445925,rs478093,rs964184,rs895636,rs2657880,rs2280401,rs10889332,rs712964,rs7232775,rs6511720,rs10127775,rs117616209	11	GSM816665,GSM736496,GSM736620
-1.091	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs261342,rs1260326,rs1303,rs4351,rs478093,rs12051548,rs117616209,rs2014355	12	GSM816656
1.859	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs261342,rs1260326,rs9309473,rs1303,rs4788815,rs4351,rs478093,rs4345897,rs1107366,rs12051548,rs2657880,rs2108622,rs1799884,rs2160387,rs10127775,rs117616209,rs2014355	13	GSM816657
