Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.526	0.329651673870324	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs412000	1	GSM816644
2.150	1.12282650016544	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs412000,rs4937076,rs6568401	2	Lookup
0.512	0.326040227307843	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs412000	3	Lookup
0.400	0.293566796035104	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs412000	4	Lookup
1.663	0.795181019699174	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs1994969,rs412000	5	Lookup
0.431	0.303113864527594	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs412000	6	GSM816664
0.721	0.391958229272925	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs412000	7	GSM736607
0.801	0.412677207430497	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs412000	8	GSM736558,GSM736635
0.566	0.344117891097881	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs412000	9	GSM736525
0.599	0.35368489300917	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs412000	10	GSM736512,GSM736561
1.049	0.56962125730584	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs17563,rs412000	11	GSM816665,GSM736496,GSM736620
0.105	0.213058516619533	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs412000	12	GSM816656
2.509	1.16607746144171	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17563,rs412000,rs4937076	13	GSM816657
0.509	0.325524347101595	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs412000	14	GSM816653
1.408	0.676923109135035	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17563,rs412000	15	GSM816658
1.526	0.739285875540636	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17563,rs412000	16	GSM816659
1.164	0.608378492430678	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17563,rs412000	17	GSM816648
0.451	0.309711006402615	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs412000	18	GSM736626,GSM736595
