Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.324	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2799573,rs9297357,rs2535629	1	GSM816644
1.424	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs548181,rs3791556,rs2799573,rs2297909,rs2535629,rs2675968,rs2252865,rs1107592	2	Lookup
0.434	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs548181,rs2799573,rs9297357,rs2535629	3	Lookup
-0.303	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs548181,rs2799573,rs2535629	4	Lookup
0.604	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs548181,rs2799573,rs11191454,rs2535629,rs2675968	5	Lookup
0.582	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs548181,rs2799573,rs2297909,rs2535629,rs1107592	6	GSM816664
0.071	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs7700191,rs548181,rs2535629	7	GSM736607
0.404	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs548181,rs2535629,rs2675968	8	GSM736558,GSM736635
-0.531	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs548181,rs2535629	9	GSM736525
0.659	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs548181,rs2799573,rs9371601,rs2535629	10	GSM736512,GSM736561
-0.464	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs11827962,rs548181,rs2799573,rs2535629	11	GSM816665,GSM736496,GSM736620
0.595	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs548181,rs6694545,rs2799573,rs2535629,rs2252865,rs1107592	12	GSM816656
0.312	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs548181,rs7914558,rs3791556,rs2535629,rs2675968,rs2252865	13	GSM816657
0.250	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs548181,rs2799573,rs2535629,rs1107592	14	GSM816653
0.984	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs548181,rs1006737,rs2799573,rs2297909,rs2535629,rs6435387,rs2252865	15	GSM816658
0.584	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs159788,rs548181,rs2799573,rs2535629,rs2675968	16	GSM816659
-0.454	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs548181,rs2799573,rs2535629,rs2252865	17	GSM816648
-0.853	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs548181,rs2535629	18	GSM736626,GSM736595
1.030	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs10255295,rs548181,rs2799573,rs2535629,rs2675968	19	GSM736501,GSM736492
0.146	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs2721800,rs10255295,rs548181,rs2799573,rs2535629,rs363598	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.114	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs2799573,rs2535629,rs2675968	21	GSM736604,GSM736529
-0.958	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs548181,rs2799573,rs2535629	22	GSM736592,GSM1024760
-1.183	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs548181	23	GSM736502,GSM1024792
