Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.164	0.77505598449934	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs10946808,rs11648796,rs1991431,rs2025151,rs2282978,rs2665838,rs2871865,rs3110496,rs3782089,rs4337252,rs4605213,rs494459,rs6439167	1	GSM701525
1.503	0.977470047544106	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs10946808,rs1150781,rs12153391,rs12986413,rs1635852,rs1759645,rs2025151,rs237743,rs2665838,rs3751599,rs3782089,rs4072910,rs42235,rs4337252,rs4605213	2	GSM701526
3.397	2.70890700081033	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs10946808,rs1150781,rs12982744,rs1738475,rs1991431,rs2025151,rs2066807,rs2145998,rs2282978,rs2665838,rs2871865,rs3110496,rs3782089,rs3814333,rs3816804,rs4072910,rs4605213,rs654723,rs6569648,rs6570507,rs6750795	3	GSM665837
2.940	2.26451578834711	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs10512248,rs10946808,rs1150781,rs11599750,rs11658329,rs11684404,rs1759645,rs1950500,rs1991431,rs2025151,rs2279008,rs2589113,rs2665838,rs2871865,rs3110496,rs3782089,rs3814333,rs4072910,rs4605213,rs473902,rs494459,rs584438,rs6569648,rs7507204,rs798544,rs806794,rs9285425,rs9863706	4	GSM701516
4.030	3.41103856509092	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs1043515,rs10946808,rs1150781,rs1415701,rs17318596,rs1738475,rs1759645,rs185819,rs1991431,rs2025151,rs2066807,rs2282978,rs2284746,rs237743,rs2665838,rs2871865,rs3110496,rs3782089,rs3889237,rs4337252,rs4605213,rs4711336,rs473902,rs494459,rs584438,rs606452,rs654723,rs6569648,rs6750795,rs7507204,rs806794,rs9863706	5	GSM701489
1.834	1.23019660080405	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs10946808,rs1150781,rs17511102,rs1991431,rs2066807,rs2070776,rs2079795,rs2282978,rs2871865,rs3110496,rs3782089,rs3816804,rs4601530,rs4605213,rs4743034,rs584438,rs6440003,rs654723,rs6569648,rs806794	6	GSM701491
4.282	3.72700498182183	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs10863936,rs10874746,rs10946808,rs1150781,rs11684404,rs1570106,rs1991431,rs2025151,rs2066807,rs2282978,rs237743,rs2665838,rs2871865,rs3110496,rs3782089,rs3814333,rs3816804,rs4072910,rs4337252,rs4601530,rs4605213,rs4665736,rs494459,rs584438,rs606452,rs654723,rs6569648,rs6750795,rs798489	7	GSM665812
1.656	1.10298605993699	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs10946808,rs1150781,rs11599750,rs1991431,rs2025151,rs2066807,rs2145998,rs2282978,rs2665838,rs2871865,rs3782089,rs4072910,rs4605213,rs6569648,rs6750795,rs806794,rs9832740	8	GSM665839
4.321	3.7341505376863	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs10512248,rs10874746,rs10946808,rs1150781,rs11599750,rs1182188,rs12534093,rs143384,rs17318596,rs1759645,rs1991431,rs2025151,rs2066807,rs2280470,rs2282978,rs2665838,rs2871865,rs3110496,rs3782089,rs4072910,rs425277,rs4605213,rs473902,rs4986172,rs584438,rs654723,rs6569648,rs6750795,rs7507204,rs7571816,rs7926971,rs9832740,rs9863706	9	GSM817166
4.149	3.37893760558505	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs10838708,rs10946808,rs1150781,rs17318596,rs1738475,rs1759645,rs2025151,rs2066807,rs2145998,rs2279008,rs2282978,rs2871865,rs3110496,rs3782089,rs4072910,rs422421,rs425277,rs4337252,rs4605213,rs473902,rs584438,rs654723,rs7507204,rs7916441,rs798544	10	GSM701539
2.274	1.61659400767576	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs10512248,rs10946808,rs1150781,rs12534093,rs1367226,rs1415701,rs1569019,rs1738475,rs1759645,rs1991431,rs2025151,rs2282978,rs2665838,rs2871865,rs3110496,rs3782089,rs3792752,rs4605213,rs584438,rs606452,rs654723,rs7926971,rs806794	11	GSM817160
2.933	2.34285139595561	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs10946808,rs1150781,rs11599750,rs11684404,rs11880992,rs12534093,rs13273123,rs17318596,rs1991431,rs2025151,rs2066807,rs2237886,rs2279008,rs2665838,rs2871865,rs3110496,rs3782089,rs3814333,rs4072910,rs4535251,rs4605213,rs494459,rs584438,rs606452,rs6440003,rs654723,rs6569648,rs6750795,rs7926971,rs806794	12	GSM665813
1.344	0.870771211433056	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs10946808,rs1759645,rs1991431,rs2025151,rs2066807,rs2282978,rs2665838,rs2871865,rs3782089,rs4072910,rs425277,rs654723,rs6569648	13	GSM665838
3.872	3.28710721200598	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs10512248,rs10874746,rs10946808,rs11082304,rs1150781,rs11599750,rs11648796,rs12474201,rs13273123,rs1991431,rs2025151,rs2282978,rs2589113,rs2665838,rs2871865,rs3110496,rs3782089,rs3814333,rs4072910,rs4605213,rs473902,rs654723,rs6569648,rs7112925,rs7926971,rs806794,rs9472414,rs9969804	14	GSM701499
1.706	1.09670608363378	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs10152591,rs10946808,rs1150781,rs1991431,rs2025151,rs2066807,rs2279008,rs2282978,rs2665838,rs2871865,rs3110496,rs3782089,rs3816804,rs425277,rs4605213	15	GSM701540
