Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.782	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4503880,rs1497406,rs754466	1	GSM816644
1.493	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2140773,rs2073398,rs339969,rs516246,rs8038465,rs7310409	2	Lookup
0.545	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs1335645,rs2073398,rs339969	3	Lookup
0.528	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1335645,rs2140773,rs339969	4	Lookup
-0.301	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs1335645,rs339969	5	Lookup
1.873	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs944002,rs2140773,rs339969,rs7310409	6	GSM816664
1.039	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs1497406,rs2073398,rs8038465	7	GSM736607
0.451	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs1335645,rs339969	8	GSM736558,GSM736635
-0.593	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs7310409	9	GSM736525
0.113	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs1335645,rs339969	10	GSM736512,GSM736561
1.913	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs1497406,rs2140773,rs2073398,rs339969,rs754466,rs8038465	11	GSM816665,GSM736496,GSM736620
0.356	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs2140773,rs1076540,rs339969	12	GSM816656
1.278	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs1497406,rs2140773,rs339969,rs8038465,rs7310409	13	GSM816657
1.521	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1260326,rs4074793,rs2073398,rs339969	14	GSM816653
