Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.897	0.597748471067904	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs1552224,rs6815464,rs75493593,rs896854	1	GSM701525
0.092	0.270178561334796	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs12010175,rs1552224,rs896854	2	GSM701526
-0.380	0.142172803601626	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs1552224,rs6815464,rs896854	3	GSM665837
0.182	0.306591189817292	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs1552224,rs16861329,rs5215,rs6815464,rs7957197,rs896854	4	GSM701516
1.575	0.965213588762746	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs10886471,rs11257655,rs1552224,rs3786897,rs4812829,rs6815464,rs75493593,rs849134,rs896854	5	GSM701489
0.209	0.313824447723647	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs10923931,rs11257655,rs11634397,rs1552224,rs75493593	6	GSM701491
1.144	0.731868193413748	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs11634397,rs1552224,rs4402960,rs5215,rs7957197,rs896854	7	GSM665812
-0.044	0.230458466320427	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs1552224,rs6815464,rs896854	8	GSM665839
-0.279	0.173779051203788	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs10906115,rs1552224,rs6815464,rs75493593,rs896854	9	GSM817166
0.983	0.619420871471418	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs1552224,rs16861329,rs5215,rs6815464,rs75493593	10	GSM701539
1.406	0.837764289087169	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs1552224,rs2237897,rs5215,rs6815464,rs7041847,rs7172432,rs75493593	11	GSM817160
-0.447	0.138481711204069	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs12010175,rs1552224,rs75493593,rs896854	12	GSM665813
-0.244	0.174157063150383	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs1552224,rs896854	13	GSM665838
-0.393	0.145068983958624	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs1552224,rs1802295,rs5015480,rs896854	14	GSM701499
-0.870	0.0590669654631248	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs1552224	15	GSM701540
-0.039	0.232058225592876	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs1552224,rs3786897,rs791595	16	GSM701503
-0.320	0.153699769575134	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs10814916,rs11257655,rs2237892	17	GSM701541
0.103	0.27728186186673	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs12010175,rs1552224,rs2237895,rs896854	18	GSM701492
0.231	0.319421793495102	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs1552224,rs5215,rs75493593,rs896854	19	GSM701493
0.547	0.4325014875249	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs1111875,rs11257655,rs1552224,rs7041847,rs75493593,rs896854	20	GSM701507
0.002	0.251843257903178	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs13266634,rs1552224,rs2237897,rs231362,rs896854	21	GSM701500
-0.011	0.239754473790256	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs13266634,rs1552224,rs75493593	22	GSM530664
-1.158	0.0330739160617047	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs1552224	23	GSM530658
0.047	0.25636719567446	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs13266634,rs1552224,rs896854	24	GSM530659
0.347	0.361726556653078	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS14206.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs13266634,rs1552224,rs4430796,rs896854	25	GSM595919
-0.134	0.207327147874287	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01508.DS11202.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs11787792,rs13266634,rs1552224	26	GSM493386
0.618	0.47158583612503	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01517.DS14129.twopass.merge150.wgt10.zgt2.wig	rs10814916,rs11257655,rs13266634,rs1552224,rs896854	27	GSM595917
0.342	0.359355133589143	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01520.DS12785.twopass.merge150.wgt10.zgt2.wig	rs10923931,rs11257655,rs13266634,rs1552224,rs896854	28	GSM530660
-0.685	0.0855934608244177	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01527.DS11666.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs1552224,rs2237897	29	GSM493387
-0.494	0.118840255171731	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS12274.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs13266634,rs1552224	30	GSM493384
0.494	0.415871802708899	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS14197.twopass.merge150.wgt10.zgt2.wig	rs10814916,rs11257655,rs13266634,rs1552224,rs896854	31	GSM595918
-0.650	0.0939217705265899	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01536.DS12339.twopass.merge150.wgt10.zgt2.wig	rs11257655,rs13266634,rs1552224	32	GSM530652
