Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.643	0.483641176184774	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs170183,rs4792909,rs7071206,rs71390846,rs7932354,rs9466056	1	GSM816644
-0.785	0.0867044733022887	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2887571,rs2908004,rs7071206,rs7084921,rs7932354,rs9921222	2	Lookup
2.017	1.26772317120861	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs11623869,rs13336428,rs2016266,rs227584,rs3736228,rs6827815,rs7071206,rs7932354,rs9921222	3	Lookup
2.600	1.64096286030313	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs11755164,rs13336428,rs2908004,rs3755955,rs4792909,rs4985155,rs7071206,rs7932354,rs9533090,rs9921222	4	Lookup
0.410	0.377973423322537	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs11951031,rs2908004,rs3755955,rs4727338,rs7932354,rs9921222	5	Lookup
1.301	0.795924880652597	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13336428,rs170183,rs2908004,rs34920465,rs4792909,rs7084921,rs7932354,rs9921222	6	GSM816664
-1.138	0.0362541252617463	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs7932354,rs9921222	7	GSM736607
-0.206	0.181927935188848	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs7932354,rs9533090	8	GSM736558,GSM736635
0.990	0.648212192259602	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs11951031,rs13336428,rs2908004,rs7071206,rs7932354,rs9533090	9	GSM736525
0.831	0.567246022714045	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs10835187,rs11951031,rs2908004,rs3736228,rs7932354,rs9533090	10	GSM736512,GSM736561
0.279	0.349169394384073	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs10416218,rs11623869,rs13336428,rs227584,rs2908004,rs7071206,rs7932354,rs9921222	11	GSM816665,GSM736496,GSM736620
-0.007	0.252103912954365	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10416218,rs2016266,rs2908004,rs4792909,rs71390846,rs7932354,rs9921222	12	GSM816656
-0.345	0.17181161652774	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10416218,rs13336428,rs2908004,rs3736228,rs71390846,rs7932354,rs9921222	13	GSM816657
-1.318	0.0211186398902485	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2908004,rs7932354	14	GSM816653
-0.334	0.166872431523533	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13336428,rs2016266,rs2908004,rs7071206,rs7932354,rs9921222	15	GSM816658
