Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.529	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7525133,rs1502172,rs1299548	1	GSM816644
-0.384	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7525133,rs2336030,rs9662633	2	Lookup
1.303	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs7525133,rs1641895,rs9662633,rs901254	3	Lookup
0.027	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1641895,rs17302400	4	Lookup
1.433	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs2842895,rs7525133,rs17302400,rs9662633	5	Lookup
-0.492	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2798334,rs17302400	6	GSM816664
-1.569	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.230	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs1641895	8	GSM736558,GSM736635
0.943	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs1641895,rs13043330,rs901254	9	GSM736525
-0.614	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs1641895	10	GSM736512,GSM736561
0.548	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2842895,rs1641895,rs17302400,rs9662633	11	GSM816665,GSM736496,GSM736620
-0.618	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1641895,rs9662633	12	GSM816656
-0.374	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2798334,rs1641895,rs1316952	13	GSM816657
-0.013	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10495537,rs1641895	14	GSM816653
1.822	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1502172,rs2798334,rs1641895,rs1316952,rs1048497,rs10914967	15	GSM816658
-1.154	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1641895	16	GSM816659
0.520	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs746080,rs1641895,rs13043330,rs10914967	17	GSM816648
-0.294	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs4657015,rs7525133	18	GSM736626,GSM736595
-0.836	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs2777777	19	GSM736501,GSM736492
0.126	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs2842895,rs7525133,rs7120173,rs1641895	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
1.454	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs7525133,rs1299548,rs746080,rs13043330	21	GSM736604,GSM736529
0.113	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2842895,rs1641895,rs9662633	22	GSM736592,GSM1024760
0.540	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs1641895,rs9662633	23	GSM736502,GSM1024792
