Zscore	Cell	Tissue	File	SNPs	Number	Accession
1.023	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs657075,rs3783637,rs2240335,rs4810485,rs4937362,rs6496667,rs2233434	1	GSM816644
2.455	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1957895,rs657075,rs3761847,rs840016,rs7404928,rs3783637,rs4810485,rs2280381,rs6859219,rs4750316,rs4937362,rs881375,rs12529514,rs11203203,rs2233434	2	Lookup
4.610	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs3781913,rs2230926,rs657075,rs2476601,rs2736340,rs840016,rs660895,rs3783637,rs2841277,rs3093023,rs4810485,rs2280381,rs4937362,rs881375,rs2233434	3	Lookup
6.619	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs13031237,rs657075,rs1600249,rs3761847,rs840016,rs660895,rs7404928,rs3783637,rs2841277,rs3093024,rs3093023,rs615672,rs4810485,rs2280381,rs2812378,rs12529514,rs2233434,rs706778	4	Lookup
4.004	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs657075,rs840016,rs660895,rs7404928,rs3783637,rs2841277,rs3093023,rs615672,rs4810485,rs2280381,rs874040,rs6679677,rs2233434,rs706778	5	Lookup
3.052	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1600249,rs840016,rs3783637,rs2841277,rs2240335,rs3093023,rs4810485,rs2280381,rs11761231,rs6496667,rs12529514,rs2233434	6	GSM816664
1.446	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs840016,rs2841277,rs4810485,rs3184504,rs874040,rs881375,rs2233434	7	GSM736607
5.198	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs840016,rs660895,rs3783637,rs2841277,rs3093023,rs4810485,rs2280381,rs743777,rs6859219,rs26232,rs11203203,rs2233434,rs706778	8	GSM736558,GSM736635
5.981	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs1600249,rs11900673,rs3761847,rs840016,rs660895,rs3783637,rs2841277,rs2240335,rs3093023,rs4810485,rs2280381,rs3184504,rs743777,rs6859219,rs26232,rs2233434	9	GSM736525
4.022	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs2230926,rs1600249,rs840016,rs660895,rs7404928,rs3783637,rs4810485,rs2280381,rs743777,rs6859219,rs26232,rs2233434	10	GSM736512,GSM736561
6.265	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs657075,rs1600249,rs11900673,rs3761847,rs840016,rs660895,rs7404928,rs3783637,rs2841277,rs3093023,rs615672,rs4810485,rs2280381,rs3184504,rs743777,rs6859219,rs881375,rs6679677,rs26232,rs6496667,rs12529514,rs11203203,rs2233434,rs706778	11	GSM816665,GSM736496,GSM736620
