Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
5.815	5.44204790427994	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs10065637,rs10210302,rs10995271,rs11742570,rs1456893,rs1551398,rs17293632,rs2062305,rs2149085,rs2284553,rs2476601,rs3024505,rs3091315,rs4802307,rs6651252,rs7076156,rs713875,rs7329174,rs8005161	1	GSM701525
4.507	3.56940561817839	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs10065637,rs10883365,rs11235667,rs11742570,rs1456893,rs2062305,rs2149085,rs2284553,rs3024505,rs4077515,rs4802307,rs4902642,rs6478106,rs7076156,rs713875,rs8005161	2	GSM701526
5.617	5.10362261449468	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs11167764,rs11235667,rs11742570,rs13204742,rs1456893,rs1551398,rs17293632,rs2062305,rs2149085,rs2284553,rs3024505,rs4802307,rs6651252,rs6856616,rs7076156,rs713875,rs7329174,rs762421,rs8005161	3	GSM665837
3.516	2.64485123134842	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs10210302,rs102275,rs11235667,rs11742570,rs1456893,rs1551398,rs17234657,rs17293632,rs2062305,rs2149085,rs2284553,rs3024505,rs4802307,rs4902642,rs6478106,rs6651252,rs7076156,rs7329174,rs8005161	4	GSM701516
3.153	2.34842745392958	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs11235667,rs11742570,rs1456893,rs1551398,rs17234657,rs17293632,rs2062305,rs2149085,rs2284553,rs3024505,rs3091338,rs4802307,rs6651252,rs713875,rs7329174,rs762421,rs7746082,rs8005161	5	GSM701489
5.981	5.7856330784034	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs10065637,rs10210302,rs10883365,rs11235667,rs11742570,rs13428812,rs1551398,rs17234657,rs17293632,rs1998598,rs2062305,rs2149085,rs2284553,rs2542151,rs3024505,rs4802307,rs4902642,rs6651252,rs6856616,rs713875,rs7329174,rs8005161,rs9891119	6	GSM701491
2.922	2.0765146729384	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs10883365,rs11742570,rs1456893,rs17234657,rs17293632,rs2149085,rs2284553,rs3024505,rs4802307,rs4809330,rs6651252,rs6856616,rs713875,rs762421,rs8005161	7	GSM665812
6.310	6.1511952989482	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs10065637,rs10210302,rs11167764,rs11235667,rs11742570,rs1456893,rs1551398,rs17234657,rs17293632,rs2062305,rs2149085,rs2284553,rs3024505,rs3810936,rs4802307,rs4820425,rs4902642,rs6568421,rs6651252,rs713875,rs7329174,rs8005161	8	GSM665839
5.957	5.63311031034662	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs10065637,rs10210302,rs10495903,rs11235667,rs11742570,rs12720356,rs1456893,rs1551398,rs17234657,rs17293632,rs17309827,rs17695092,rs2062305,rs2149085,rs2284553,rs3024505,rs3091338,rs4802307,rs6568421,rs6651252,rs713875,rs7329174,rs744166,rs7517810,rs8005161	9	GSM817166
2.463	1.61839129423864	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs11742570,rs1551398,rs17293632,rs17309827,rs2062305,rs2284553,rs3024505,rs3810936,rs4802307,rs6651252,rs713875,rs8005161	10	GSM701539
3.708	2.93917068273367	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs10495903,rs11235667,rs11742570,rs13204742,rs1551398,rs1728918,rs17293632,rs2149085,rs2284553,rs281379,rs3024505,rs4802307,rs6651252,rs6856616,rs713875,rs7329174,rs744166,rs8005161	11	GSM817160
4.759	4.41199623742556	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs10210302,rs11167764,rs11235667,rs11584383,rs11742570,rs13204742,rs1456893,rs1551398,rs17695092,rs2062305,rs2149085,rs2284553,rs2838519,rs3024505,rs3897478,rs4263839,rs4802307,rs5743289,rs6651252,rs6856616,rs713875,rs7329174,rs744166,rs8005161	12	GSM665813
4.874	4.08072311950795	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs10210302,rs11742570,rs13204742,rs1456893,rs1551398,rs17293632,rs2062305,rs2149085,rs2284553,rs3024505,rs4802307,rs6651252,rs713875,rs7329174,rs744166,rs8005161	13	GSM665838
5.376	5.02600903582575	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs10065637,rs10210302,rs11195128,rs11235667,rs11742570,rs13204742,rs13428812,rs1456893,rs1551398,rs17234657,rs17293632,rs1799964,rs2149085,rs2284553,rs281379,rs3024505,rs3810936,rs4802307,rs6651252,rs713875,rs7329174,rs8005161	14	GSM701499
5.873	4.78454750711675	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs11235667,rs11742570,rs13204742,rs1456893,rs1551398,rs17293632,rs1799964,rs2062305,rs2149085,rs2284553,rs3024505,rs4077515,rs4802307,rs6651252,rs713875,rs7329174,rs8005161	15	GSM701540
1.702	1.07801165591671	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs11742570,rs1551398,rs17234657,rs17293632,rs2149085,rs2284553,rs3024505,rs3091338,rs713875,rs8005161	16	GSM701503
1.870	1.19609623328232	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs11742570,rs1551398,rs17234657,rs17293632,rs2284553,rs3024505,rs3091315,rs4077515,rs713875,rs8005161	17	GSM701541
4.532	3.94319840111603	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs10181042,rs10495903,rs10883365,rs11235667,rs11742570,rs12722489,rs1456893,rs181359,rs2062305,rs2149085,rs2284553,rs3024505,rs4802307,rs4902642,rs6716753,rs7076156,rs713875,rs7329174,rs762421,rs8005161	18	GSM701492
3.620	2.72602149594138	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs10181042,rs10883365,rs11235667,rs11742570,rs1456893,rs2062305,rs2149085,rs2284553,rs3024505,rs4802307,rs4902642,rs6651252,rs6716753,rs713875,rs7329174,rs8005161	19	GSM701493
6.394	6.6140364293993	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs10065637,rs10181042,rs10210302,rs102275,rs10865331,rs10883365,rs11235667,rs11584383,rs11742570,rs1456893,rs17293632,rs1799964,rs2062305,rs2149085,rs2284553,rs2872507,rs3024505,rs3091338,rs4802307,rs4902642,rs6716753,rs7076156,rs7329174,rs762421,rs8005161	20	GSM701507
2.997	2.29045340013505	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs10065637,rs10883365,rs11195128,rs11742570,rs1728918,rs17293632,rs2058660,rs2062305,rs2284553,rs4802307,rs504963,rs6545946,rs6568421,rs6651252,rs694739,rs713875,rs7329174,rs8005161	21	GSM701500
