Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
2.420	1.11746303616412	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	1	GSM816644
0.349	0.282712395490196	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2651899	2	Lookup
-0.670	0	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
-0.687	0	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
-0.699	0	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig		5	Lookup
0.835	0.435083159790592	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113	6	GSM816664
-0.633	0	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.516	0	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-0.672	0	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-0.710	4.34294517858653e-11	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
-0.856	4.34294517858653e-11	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig		11	GSM816665,GSM736496,GSM736620
5.134	2.85236352140076	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs2274316,rs2651899	12	GSM816656
0.587	0.348009659141542	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12134493	13	GSM816657
1.017	0.485033969839085	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2274316	14	GSM816653
0.508	0.330170274780803	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2651899	15	GSM816658
0.802	0.412677207430497	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6741751	16	GSM816659
-0.911	4.34294517858653e-11	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		17	GSM816648
0.877	0.437425229180161	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs2274316	18	GSM736626,GSM736595
-0.723	4.3429403569492e-11	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
-0.984	4.34294517858653e-11	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig		20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.694	0	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig		21	GSM736604,GSM736529
-0.821	4.82163733276643e-17	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig		22	GSM736592,GSM1024760
-0.520	4.3429403569492e-11	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig		23	GSM736502,GSM1024792
2.245	1.09501489668573	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	24	GSM736583,GSM736505
2.568	1.21953740716772	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	25	GSM816638
1.830	0.889315650075846	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	26	GSM736509,GSM736554
0.870	0.43900055209747	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs12134493	27	GSM1024745,GSM1024747
0.852	0.441375216673385	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs12134493	28	GSM736609,GSM736523
0.573	0.348575457565936	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs12134493	29	GSM736571,GSM736521
1.061	0.503086924035209	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs12134493	30	GSM736599,GSM736591
0.825	0.435867941307987	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs12134493	31	GSM736577,GSM736573
0.959	0.478648493516322	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs12134493	32	GSM736611,GSM736624
0.650	0.377097681946538	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs12134493	33	GSM736542,GSM736511
0.852	0.432760280773721	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs12134493	34	GSM736507,GSM736627
0.827	0.42142493616788	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs12134493	35	GSM1024763
2.420	1.14923262212954	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	36	GSM736555,GSM736614
-0.937	4.34294517858653e-11	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig		37	GSM816646,GSM736575,GSM736533
4.843	3.05275376124978	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs11759769,rs12134493,rs2274316,rs2651899	38	Lookup
-0.761	0	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig		39	Lookup
1.979	0.930431371984048	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	40	GSM816668
0.191	0.235187628494788	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113	41	GSM816636
0.801	0.417016526053666	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs6741751	42	GSM736522,GSM736570
-0.436	4.34294517858653e-11	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig		43	GSM1008585
1.632	0.819828504797559	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	44	GSM736594,GSM736535
0.265	0.257942942846823	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs12134493	45	GSM816669,GSM736634,GSM736552
4.010	2.0783524619324	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs2274316	46	GSM736628,GSM736541
0.255	0.254950407524095	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs12134493	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
2.078	1.00530661826984	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12134493,rs2651899	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
2.044	1.01777550227558	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs2274316	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
3.419	1.80942055006969	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs2274316	50	GSM736586,GSM736538
0.170	0.230871185385926	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs12134493	51	GSM816633,GSM816643,GSM736564,GSM736510
2.472	1.15265140515117	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	52	GSM816633,GSM816643,GSM736564,GSM736510
1.964	0.791503309208581	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig	rs11172113	53	GSM736500,GSM736587
1.320	0.580448688667828	HCT-116	Colon	HCT116-DS13551.twopass.merge150.wgt10.zgt2.wig	rs12134493	54	GSM736600,GSM736493
2.168	1.07329221123074	HVMF	Connective	HVMF-DS13981.twopass.merge150.wgt10.zgt2.wig	rs12134493,rs2274316	55	GSM736534,GSM736491
2.607	1.21762565503773	WI-38	Embryonic lung	WI_38-DS14315.twopass.merge150.wgt10.zgt2.wig	rs12134493,rs2274316	56	GSM736613,GSM736526,GSM736613,GSM736526
1.732	0.865945253156732	WI-38	Embryonic lung	WI_38_TAM-DS14323.twopass.merge150.wgt10.zgt2.wig	rs12134493,rs2274316	57	GSM736613,GSM736526,GSM736613,GSM736526
0.297	0.266795239725726	A549	Epithelium	A549-all.twopass.merge150.wgt10.zgt2.wig	rs12134493	58	GSM816649,GSM736580,GSM736506
3.698	1.98936747740217	HAEpiC	Epithelium	HAEpiC-DS12663.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs6478241	59	GSM736631,GSM736606
2.154	1.04933760589267	HCPEpiC	Epithelium	HCPEpiC-DS12447.twopass.merge150.wgt10.zgt2.wig	rs12134493,rs7640543	60	GSM736569,GSM736597
0.880	0.435867941307987	HEEpiC	Epithelium	HEEpiC-DS12763.twopass.merge150.wgt10.zgt2.wig	rs12134493	61	GSM736585,GSM736532
2.127	1.03049452224744	HIPEpiC	Epithelium	HIPEpiC-DS12684.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	62	GSM736589,GSM736615
2.090	1.00530661826984	HNPCEpiC	Epithelium	HNPCEpiC-DS12467.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	63	GSM736621,GSM736550
2.303	1.11258510723798	HPdLF	Epithelium	HPdLF-DS13573.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	64	GSM736632,GSM736528
0.782	0.413401459510264	HRCEpiC	Epithelium	HRCE-DS10666.twopass.merge150.wgt10.zgt2.wig	rs12134493	65	GSM736549,GSM736557
0.856	0.433538643360099	HRE	Epithelium	HRE-DS10641.twopass.merge150.wgt10.zgt2.wig	rs12134493	66	GSM736527,GSM736548
2.036	1.00394173804288	HRPEpiC	Epithelium	HRPEpiC-DS12583.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	67	GSM736630,GSM736623
1.680	0.826919850271799	pHTE	Epithelium	wgEncodeOpenChromDnasePhteAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12134493,rs2651899	68	GSM816647
2.142	1.02340830365135	RPTEC	Epithelium	RPTEC-DS14061.twopass.merge150.wgt10.zgt2.wig	rs12134493,rs6478241	69	GSM736543,GSM736539
0.896	0.449432788722276	SAEC	Epithelium	SAEC-DS10518.twopass.merge150.wgt10.zgt2.wig	rs12134493	70	GSM736608,GSM736617
1.380	0.706356806260669	HESC	ES Cell	HESC-all.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	71	Lookup
3.198	1.68375429844617	hESCT0	ES Cell	hESCT0-DS11909.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs2274316	72	Lookup
0.913	0.457731934740381	H9ES	ES Cell	wgEncodeOpenChromDnaseH9esAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113	73	GSM816629
2.694	1.27076067443125	HConF	Eye	HConF-DS11642.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	74	GSM736547,GSM736515
-0.791	0	WERI-Rb-1	Eye	WERI_Rb1-DS13681.twopass.merge150.wgt10.zgt2.wig		75	GSM736495,GSM736636
3.038	1.57194552060471	Chorion	Fetal membrane	wgEncodeOpenChromDnaseChorionAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs2274316	76	GSM816628
3.246	1.71811758077984	HFF	Foreskin	HFF-DS15115.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs2274316	77	GSM736602,GSM736572
2.922	1.62185194474611	HFF-Myc	Foreskin	HFF_MyC-DS15079.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs2274316	78	GSM736524,GSM736605
2.816	1.34173712421234	AG09319	Gingival	AG09319-DS12291.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	79	GSM736531,GSM736619
2.812	1.33275241981896	HGF	Gingival	HGF-DS11752.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	80	GSM736579,GSM736576
1.860	0.925593283122887	HCFaa	Heart	HCFaa-DS13480.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	81	GSM736494,GSM736601
2.367	1.15783333659012	HCF	Heart	HCF-DS12501.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	82	GSM736568,GSM736540
2.038	1.02765738527852	HCM	Heart	HCM-DS12599.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	83	GSM736516,GSM736504
0.573	0.34301428466877	iPS	IPS	wgEncodeOpenChromDnaseIpsAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113	84	GSM816642
0.765	0.401433186677419	HRGEC	Kidney	HRGEC-DS13716.twopass.merge150.wgt10.zgt2.wig	rs12134493	85	GSM736499,GSM736618
3.218	1.61834168320925	8988T	Liver	wgEncodeOpenChromDnase8988tAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs2651899	86	GSM816667
1.585	0.800027388870174	Hepatocytes	Liver	wgEncodeOpenChromDnaseHepatocytesAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2274316,rs2651899	87	GSM816663
-0.800	0	HepG2	Liver	HepG2-all.twopass.merge150.wgt10.zgt2.wig		88	GSM816662,GSM736637,GSM736639
3.172	1.67440408577483	Huh-7.5	Liver	wgEncodeOpenChromDnaseHuh75AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs2274316	89	GSM816671
0.716	0.386041332806738	Huh-7	Liver	wgEncodeOpenChromDnaseHuh7AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113	90	GSM816641
3.562	1.84172998025048	Stellate	Liver	wgEncodeOpenChromDnaseStellateAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs2274316	91	GSM816672
1.041	0.499199145880238	AG04450	Lung	AG04450-DS12270.twopass.merge150.wgt10.zgt2.wig	rs12134493	92	GSM736514,GSM736563
0.927	0.474163549948265	HPF	Lung	HPF-DS13390.twopass.merge150.wgt10.zgt2.wig	rs12134493	93	GSM736574,GSM736503
2.039	0.981086458938319	NHLF	Lung	NHLF-DS12829.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	94	GSM736612,GSM736536
2.185	1.05376301170904	E_myoblast	Muscle	E_myoblast_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	95	Lookup
1.100	0.587956575523734	HSMM	Muscle	HSMM-all.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	96	GSM816650,GSM736560,GSM736553
2.300	1.23473208972361	HSMM	Muscle	HSMM_D-all.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs2274316	97	GSM816650,GSM736560,GSM736553
3.839	1.9868373871823	SKMC	Muscle	SkMC-DS11949.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs2274316	98	Lookup
2.194	1.00806180772657	Myometr	Myometrium	wgEncodeOpenChromDnaseMyometrAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	99	GSM816630
2.114	1.00257980879709	NH-A	Nervous	NHA-DS12800.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493	100	GSM736544,GSM736584
0.761	0.401433186677419	PANC-1	Pancreas	PANC1-DS9955.twopass.merge150.wgt10.zgt2.wig	rs12134493	101	GSM736517,GSM736519
3.240	1.68750056815196	PanIsletD	Pancreas	wgEncodeOpenChromDnasePanisdAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs2274316	102	GSM816666
2.980	1.53892426218182	PanIslets	Pancreas	wgEncodeOpenChromDnasePanisletsAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12134493,rs2274316	103	GSM816660
