Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.226	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs8127571	1	GSM816644
-0.801	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13181561	2	Lookup
-0.282	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs13181561	3	Lookup
-0.161	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs13181561	4	Lookup
1.285	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs4839431,rs5925760	5	Lookup
-0.385	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4839431	6	GSM816664
1.888	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs9408928,rs261532	7	GSM736607
-0.825	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-0.194	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs9408928	9	GSM736525
0.763	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs210359,rs2048161	10	GSM736512,GSM736561
-0.719	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs4839431	11	GSM816665,GSM736496,GSM736620
0.298	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs4839431	12	GSM816656
0.285	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs4839431	13	GSM816657
-1.281	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
1.642	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs17252936,rs4839431,rs2048161	15	GSM816658
0.215	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4839431,rs8127571	16	GSM816659
-0.803	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4839431	17	GSM816648
1.466	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs4839431,rs261532	18	GSM736626,GSM736595
1.520	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs4839431,rs5925760	19	GSM736501,GSM736492
-0.943	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs4839431	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.878	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs4839431	21	GSM736604,GSM736529
0.215	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs13181561,rs4839431	22	GSM736592,GSM1024760
0.229	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs13181561	23	GSM736502,GSM1024792
-1.349	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-1.313	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
-1.604	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig		26	GSM736509,GSM736554
-0.186	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs4839431	27	GSM1024745,GSM1024747
-1.123	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig		28	GSM736609,GSM736523
-1.386	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig		29	GSM736571,GSM736521
-0.997	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig		30	GSM736599,GSM736591
-1.176	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig		31	GSM736577,GSM736573
-1.136	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig		32	GSM736611,GSM736624
-1.348	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig		33	GSM736542,GSM736511
-1.229	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig		34	GSM736507,GSM736627
-1.242	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig		35	GSM1024763
