Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.279	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6590322	1	GSM816644
1.604	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4667682,rs10276619,rs2838923,rs3820201	2	Lookup
-1.181	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
-1.261	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
-1.298	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig		5	Lookup
-1.185	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
0.000	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs6590322	7	GSM736607
0.089	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs6031882	8	GSM736558,GSM736635
-0.130	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs10276619	9	GSM736525
-0.153	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs10276619	10	GSM736512,GSM736561
-0.662	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2838923	11	GSM816665,GSM736496,GSM736620
0.510	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2838923,rs3820201	12	GSM816656
0.345	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2838923,rs3820201	13	GSM816657
-1.188	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
-0.419	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2838923	15	GSM816658
-1.242	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		16	GSM816659
-1.442	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		17	GSM816648
0.627	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs1031261,rs6031882	18	GSM736626,GSM736595
-0.493	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs10276619	19	GSM736501,GSM736492
-0.152	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs2838923,rs3820201	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.162	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs10276619	21	GSM736604,GSM736529
0.314	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2838923,rs2073145	22	GSM736592,GSM1024760
0.089	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs10276619	23	GSM736502,GSM1024792
0.516	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs6590322,rs3820201	24	GSM736583,GSM736505
1.531	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6590322,rs4845552,rs3820201	25	GSM816638
1.058	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs6590322,rs682748,rs2838923	26	GSM736509,GSM736554
1.002	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs6590322,rs2838923	27	GSM1024745,GSM1024747
-0.223	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs6590322	28	GSM736609,GSM736523
-0.555	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs6590322	29	GSM736571,GSM736521
0.079	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs6590322	30	GSM736599,GSM736591
-0.187	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs6590322	31	GSM736577,GSM736573
-0.165	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs6590322	32	GSM736611,GSM736624
0.392	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs6590322,rs2838923	33	GSM736542,GSM736511
-0.244	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs6590322	34	GSM736507,GSM736627
-0.448	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs6590322	35	GSM1024763
2.068	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs6590322,rs4845552,rs3820201,rs6881634	36	GSM736555,GSM736614
-0.212	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs6590322,rs2838923	37	GSM816646,GSM736575,GSM736533
0.415	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2838923,rs3820201,rs2073145	38	Lookup
2.535	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs6590322,rs3820201,rs8115854,rs6881634	39	Lookup
2.622	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs6590322,rs4845552,rs2838923,rs2073145,rs6881634	40	GSM816668
0.651	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4845552,rs2838923,rs3820201	41	GSM816636
0.404	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs3820201,rs6881634	42	GSM736522,GSM736570
0.660	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs3820201	43	GSM1008585
0.035	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs4667682,rs3820201	44	GSM736594,GSM736535
0.652	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs4667682,rs2838923,rs6031882	45	GSM816669,GSM736634,GSM736552
0.628	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs6590322,rs4845552	46	GSM736628,GSM736541
-0.780	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs2838923	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-1.178	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-1.161	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		49	GSM816673,GSM1008576,GSM1024762,GSM1024761
0.328	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig	rs6590322,rs6881634	50	GSM736586,GSM736538
-1.092	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs2838923	51	GSM816633,GSM816643,GSM736564,GSM736510
-1.164	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		52	GSM816633,GSM816643,GSM736564,GSM736510
2.795	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig	rs2838923,rs3820201,rs6031882	53	GSM736500,GSM736587
