Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-0.647	0	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		1	GSM816644
0.826	0.381375274556305	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1801253	2	Lookup
1.234	0.520478380549819	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs1801253	3	Lookup
2.714	1.19264949969418	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1801253,rs900400	4	Lookup
2.625	1.16422641899042	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs1042725,rs1801253	5	Lookup
-0.669	0	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
-0.676	9.64327466553287e-17	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.647	0	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
1.568	0.624290338270728	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs1801253	9	GSM736525
1.276	0.537879880407482	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs1801253	10	GSM736512,GSM736561
0.819	0.396985186783165	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs1801253	11	GSM816665,GSM736496,GSM736620
0.903	0.388049430265115	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1801253	12	GSM816656
0.856	0.369756562213703	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1801253	13	GSM816657
1.225	0.503982680508193	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1801253	14	GSM816653
0.970	0.415759756396981	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1801253	15	GSM816658
1.108	0.460073870522684	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1801253	16	GSM816659
1.003	0.432683677142311	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1801253	17	GSM816648
0.960	0.439899934475253	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs1801253	18	GSM736626,GSM736595
-0.625	0	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
0.675	0.356818565486476	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs1801253	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
1.222	0.522604184112357	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs1801253	21	GSM736604,GSM736529
0.880	0.408386202386846	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs1801253	22	GSM736592,GSM1024760
1.269	0.536763149602736	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs1801253	23	GSM736502,GSM1024792
-0.585	0	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-0.557	4.34294517858653e-11	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
-0.666	0	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig		26	GSM736509,GSM736554
1.272	0.545799215256921	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs1801253	27	GSM1024745,GSM1024747
1.194	0.526891380664818	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs1801253	28	GSM736609,GSM736523
