Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.697	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11696501,rs476463	1	GSM816644
0.803	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12479254,rs490592,rs688872	2	Lookup
0.860	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs11696501,rs9990343	3	Lookup
-0.036	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs9990343	4	Lookup
-0.197	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs9990343	5	Lookup
-0.398	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs688872	6	GSM816664
-1.079	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
0.151	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs12479254	8	GSM736558,GSM736635
0.145	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs9990343	9	GSM736525
0.030	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs9990343	10	GSM736512,GSM736561
1.877	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs710865,rs9990343,rs12479254,rs490592	11	GSM816665,GSM736496,GSM736620
1.195	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12479254,rs688872,rs9473582	12	GSM816656
1.915	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9990343,rs12479254,rs490592,rs688872	13	GSM816657
0.997	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs710865,rs9990343	14	GSM816653
-0.366	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs688872	15	GSM816658
0.577	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12479254,rs688872	16	GSM816659
0.250	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs476463,rs688872	17	GSM816648
1.206	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs11696501,rs9990343	18	GSM736626,GSM736595
-0.020	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs9990343	19	GSM736501,GSM736492
