Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.380	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs8058532,rs10957125	1	GSM816644
-0.053	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs472402,rs2236824,rs12049671,rs12618573,rs12123383	2	Lookup
-1.089	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs55874825	3	Lookup
-1.737	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs12480534	4	Lookup
-1.091	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs10957125	5	Lookup
-1.761	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534	6	GSM816664
-0.814	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs10957125	7	GSM736607
-1.145	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs12480534	8	GSM736558,GSM736635
-1.343	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs12480534	9	GSM736525
-1.306	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs12480534	10	GSM736512,GSM736561
-1.078	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs472402,rs4476553	11	GSM816665,GSM736496,GSM736620
-0.511	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs66591657,rs2236824,rs6992848,rs12123383	12	GSM816656
-1.212	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs66591657,rs549476,rs12123383	13	GSM816657
-0.974	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs2070997	14	GSM816653
-2.036	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534	15	GSM816658
-0.745	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs2236824,rs12123383	16	GSM816659
-1.749	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs12049671	17	GSM816648
-0.513	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs55874825,rs10957125	18	GSM736626,GSM736595
-0.464	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs472402,rs10957125	19	GSM736501,GSM736492
-1.879	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs10957125	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.234	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs55874825,rs4476553,rs10957125	21	GSM736604,GSM736529
-1.758	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs12480534	22	GSM736592,GSM1024760
-1.135	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs12480534	23	GSM736502,GSM1024792
-0.747	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476	24	GSM736583,GSM736505
-0.600	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476	25	GSM816638
-1.108	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476	26	GSM736509,GSM736554
-1.308	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs12480534	27	GSM1024745,GSM1024747
-1.304	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs12480534	28	GSM736609,GSM736523
-0.987	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476	29	GSM736571,GSM736521
-0.933	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs12480534	30	GSM736599,GSM736591
-0.760	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476	31	GSM736577,GSM736573
-0.530	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs11904006	32	GSM736611,GSM736624
-1.408	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs12480534	33	GSM736542,GSM736511
-1.270	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig	rs12480534	34	GSM736507,GSM736627
-0.997	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476	35	GSM1024763
-0.792	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476	36	GSM736555,GSM736614
-1.672	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs10841397	37	GSM816646,GSM736575,GSM736533
-0.026	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs66591657,rs2070997,rs12618573,rs12467847,rs4909189,rs10957125,rs12123383	38	Lookup
-0.535	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476,rs10957125	39	Lookup
-1.476	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs11059374	40	GSM816668
-2.500	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs12618573	41	GSM816636
0.006	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs7600259,rs55874825,rs9813712	42	GSM736522,GSM736570
-0.057	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476	43	GSM1008585
-0.853	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs10841397,rs61883261	44	GSM736594,GSM736535
-1.754	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs472402	45	GSM816669,GSM736634,GSM736552
-0.483	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs55874825	46	GSM736628,GSM736541
-1.783	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs12480534	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
0.114	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs1870584,rs2236824,rs2070997,rs10957125	48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.824	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs10957125,rs12123383	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
0.715	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476,rs10841397,rs61883261,rs10017238	50	GSM736586,GSM736538
-2.035	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs12480534	51	GSM816633,GSM816643,GSM736564,GSM736510
-1.399	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12480534	52	GSM816633,GSM816643,GSM736564,GSM736510
-0.289	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs33993717,rs10957125	53	GSM736500,GSM736587
-1.178	HCT-116	Colon	HCT116-DS13551.twopass.merge150.wgt10.zgt2.wig	rs12480534	54	GSM736600,GSM736493
-0.562	HVMF	Connective	HVMF-DS13981.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476	55	GSM736534,GSM736491
-0.061	WI-38	Embryonic lung	WI_38-DS14315.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476,rs2574975	56	GSM736613,GSM736526,GSM736613,GSM736526
-1.220	WI-38	Embryonic lung	WI_38_TAM-DS14323.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476	57	GSM736613,GSM736526,GSM736613,GSM736526
-1.851	A549	Epithelium	A549-all.twopass.merge150.wgt10.zgt2.wig	rs12480534	58	GSM816649,GSM736580,GSM736506
-0.677	HAEpiC	Epithelium	HAEpiC-DS12663.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476	59	GSM736631,GSM736606
-0.320	HCPEpiC	Epithelium	HCPEpiC-DS12447.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476,rs12467847	60	GSM736569,GSM736597
-0.964	HEEpiC	Epithelium	HEEpiC-DS12763.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs472402	61	GSM736585,GSM736532
-0.794	HIPEpiC	Epithelium	HIPEpiC-DS12684.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs33993717	62	GSM736589,GSM736615
-1.266	HNPCEpiC	Epithelium	HNPCEpiC-DS12467.twopass.merge150.wgt10.zgt2.wig	rs12480534	63	GSM736621,GSM736550
-0.681	HPdLF	Epithelium	HPdLF-DS13573.twopass.merge150.wgt10.zgt2.wig	rs12480534,rs549476	64	GSM736632,GSM736528
-1.306	HRCEpiC	Epithelium	HRCE-DS10666.twopass.merge150.wgt10.zgt2.wig	rs12480534	65	GSM736549,GSM736557
-1.286	HRE	Epithelium	HRE-DS10641.twopass.merge150.wgt10.zgt2.wig	rs12480534	66	GSM736527,GSM736548
