Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.523	0.820535544699984	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs2293370,rs7665090,rs9303277	1	GSM701525
-0.479	0.100044960035614	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs10488631	2	GSM701526
0.503	0.368576197322829	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs911263,rs9303277	3	GSM665837
3.473	2.28491721647528	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs10931468,rs11117432,rs2293370,rs6421571,rs7665090,rs911263,rs9303277	4	GSM701516
2.709	1.66339333536297	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs10931468,rs12924729,rs6421571,rs7665090,rs911263,rs9303277	5	GSM701489
0.976	0.583254282343141	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs11117432,rs7665090,rs9303277	6	GSM701491
2.605	1.55748267000681	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs10931468,rs12924729,rs6421571,rs911263,rs9303277	7	GSM665812
2.914	1.69040009160601	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs10931468,rs538147,rs6421571,rs7665090,rs9303277	8	GSM665839
2.857	1.68147555345939	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs12924729,rs6421571,rs6890853,rs7665090,rs911263,rs9303277	9	GSM817166
-1.508	4.82163733276643e-17	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig		10	GSM701539
3.043	1.89926682221838	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs12924729,rs6421571,rs6890853,rs7665090,rs911263,rs9303277	11	GSM817160
1.295	0.735020066001672	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs2293370,rs6421571,rs7665090,rs9303277	12	GSM665813
1.421	0.761716054489226	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs11117432,rs6421571,rs9303277	13	GSM665838
2.483	1.48342198140529	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs11117432,rs538147,rs7665090,rs911263,rs9303277	14	GSM701499
0.431	0.337202343074615	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs6890853,rs8017161	15	GSM701540
0.376	0.329829644447643	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs11117432,rs4979462	16	GSM701503
2.572	1.48613482634459	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs11117432,rs12924729,rs4979462,rs911263	17	GSM701541
0.059	0.233200971507244	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs11117432,rs1800693	18	GSM701492
0.962	0.572357875755015	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs11117432,rs12924729,rs6421571	19	GSM701493
0.054	0.23189859679826	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs10931468,rs3745516	20	GSM701507
0.625	0.430920142774991	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs11117432,rs3745516,rs4979462	21	GSM701500
-0.465	0.100044960035614	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	rs485499	22	GSM530664
0.306	0.305269734544679	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig	rs12924729,rs485499	23	GSM530658
0.438	0.349106870643806	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig	rs12924729,rs485499	24	GSM530659
1.140	0.653751901744133	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS14206.twopass.merge150.wgt10.zgt2.wig	rs12924729,rs3745516,rs485499	25	GSM595919
1.200	0.697659849258955	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01508.DS11202.twopass.merge150.wgt10.zgt2.wig	rs12924729,rs485499,rs911263	26	GSM493386
1.502	0.826717953983899	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01517.DS14129.twopass.merge150.wgt10.zgt2.wig	rs12924729,rs485499,rs911263	27	GSM595917
-0.575	0.0828603296875957	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01520.DS12785.twopass.merge150.wgt10.zgt2.wig	rs485499	28	GSM530660
0.326	0.312629995395854	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01527.DS11666.twopass.merge150.wgt10.zgt2.wig	rs12924729,rs485499	29	GSM493387
