Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.199	0.530805503184829	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2072134	1	GSM816644
-0.810	0	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig		2	Lookup
-0.651	0	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
-0.695	4.3429403569492e-11	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
2.677	1.2563348969484	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs10849915,rs2072134	5	Lookup
-0.639	0	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
-0.606	0	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig		7	GSM736607
-0.514	0	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
-0.578	0	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig		9	GSM736525
-0.622	4.34294517858653e-11	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
0.676	0.367537960769694	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2074356	11	GSM816665,GSM736496,GSM736620
0.973	0.446279839331303	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2074356	12	GSM816656
0.829	0.398426031739275	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2072134	13	GSM816657
1.290	0.550106185289469	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2074356	14	GSM816653
1.000	0.460898439745102	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2072134	15	GSM816658
2.910	1.32044923451181	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2072134,rs2074356	16	GSM816659
0.807	0.394194884518344	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2072134	17	GSM816648
1.182	0.519965315283689	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs10849915	18	GSM736626,GSM736595
-0.607	4.34295000022386e-11	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig		19	GSM736501,GSM736492
0.552	0.328687912203801	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs2074356	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
1.222	0.543161738790297	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs10849915	21	GSM736604,GSM736529
0.845	0.416776681942968	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2074356	22	GSM736592,GSM1024760
-0.545	4.3429403569492e-11	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig		23	GSM736502,GSM1024792
-0.589	0	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig		24	GSM736583,GSM736505
-0.555	0	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		25	GSM816638
-0.697	0	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig		26	GSM736509,GSM736554
1.328	0.570624058071689	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs2072134	27	GSM1024745,GSM1024747
3.063	1.43487404373776	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs10849915,rs2072134	28	GSM736609,GSM736523
2.463	1.19386303687127	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs10849915,rs2072134	29	GSM736571,GSM736521
1.531	0.630395073807406	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs10849915	30	GSM736599,GSM736591
3.181	1.42733548370463	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs10849915,rs2072134	31	GSM736577,GSM736573
1.338	0.573120639143606	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs2072134	32	GSM736611,GSM736624
1.086	0.503360686986815	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs2072134	33	GSM736542,GSM736511
-0.597	4.34295000022386e-11	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig		34	GSM736507,GSM736627
1.088	0.501340645314678	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs2072134	35	GSM1024763
1.229	0.540881698006216	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs2072134	36	GSM736555,GSM736614
0.567	0.340425562000686	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs2074356	37	GSM816646,GSM736575,GSM736533
-0.910	0	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		38	Lookup
1.218	0.556012744726284	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs2072134	39	Lookup
-0.742	0	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		40	GSM816668
-0.871	4.34295000022386e-11	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		41	GSM816636
-0.524	0	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig		42	GSM736522,GSM736570
2.404	0.915914992073075	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs2072134	43	GSM1008585
0.859	0.432352847017518	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs2072134	44	GSM736594,GSM736535
2.110	1.01596299917125	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs10849915,rs2074356	45	GSM816669,GSM736634,GSM736552
-0.562	0	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig		46	GSM736628,GSM736541
0.727	0.383891469556052	MCF-7	Breast	MCF7-all.twopass.merge150.wgt10.zgt2.wig	rs2074356	47	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
-0.679	4.34294517858653e-11	MCF-7	Breast	wgEncodeOpenChromDnaseMcf7HypoxlacAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		48	GSM816627,GSM1008581,GSM816670,GSM1008565,GSM1008603,GSM1024784,GSM1024783,GSM1024764,GSM1024767,GSM736581,GSM736588
1.063	0.483759368661232	T-47D	Breast	wgEncodeOpenChromDnaseT47dAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2074356	49	GSM816673,GSM1008576,GSM1024762,GSM1024761
1.113	0.514683156780259	HAc	Cerebellar	HAc-DS14765.twopass.merge150.wgt10.zgt2.wig	rs2072134	50	GSM736586,GSM736538
1.864	0.933415387860566	HeLa-S3	Cervix	Hela-all.twopass.merge150.wgt10.zgt2.wig	rs10849915,rs2074356	51	GSM816633,GSM816643,GSM736564,GSM736510
-0.587	0	HeLa-S3	Cervix	wgEncodeOpenChromDnaseHelas3Ifna4hAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		52	GSM816633,GSM816643,GSM736564,GSM736510
-0.383	0	Caco-2	Colon	CACO2-DS8235.twopass.merge150.wgt10.zgt2.wig		53	GSM736500,GSM736587
-0.491	8.68589517924469e-11	HCT-116	Colon	HCT116-DS13551.twopass.merge150.wgt10.zgt2.wig		54	GSM736600,GSM736493
