Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-0.628	0	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		1	GSM816644
0.707	0.364396579724397	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12203592	2	Lookup
-0.641	0	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
0.884	0.428035057250086	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs12203592	4	Lookup
-0.694	0	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig		5	Lookup
-0.619	0	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		6	GSM816664
1.272	0.550400311973823	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs12203592	7	GSM736607
-0.519	4.82163733276643e-17	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
1.146	0.508252528876485	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs12203592	9	GSM736525
1.177	0.524242429798502	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs12203592	10	GSM736512,GSM736561
0.566	0.326363481101613	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs12203592	11	GSM816665,GSM736496,GSM736620
-0.737	4.82163733276643e-17	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		12	GSM816656
-0.754	0	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		13	GSM816657
