Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.627	0.941029981780878	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11222084,rs17367504,rs17608766,rs653178	1	GSM816644
-0.006	0.230868734067428	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs17080102,rs17367504	2	Lookup
0.907	0.569032227806933	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs13082711,rs17080102,rs17367504	3	Lookup
2.349	1.38258898430457	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs17080102,rs17367504,rs17608766,rs2521501	4	Lookup
1.387	0.817971564523488	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs17080102,rs17367504,rs17608766,rs880315	5	Lookup
-0.808	0.0519840991152667	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504	6	GSM816664
2.227	1.26205385102286	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs11222084,rs17080102,rs17367504,rs17608766	7	GSM736607
-0.162	0.158092893643397	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs17367504	8	GSM736558,GSM736635
-0.503	0.0923201882584323	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs653178	9	GSM736525
0.267	0.303713438936851	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs653178	10	GSM736512,GSM736561
-0.529	0.102642558714059	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs3096277	11	GSM816665,GSM736496,GSM736620
-0.496	0.113932586822929	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1717027,rs17367504	12	GSM816656
-0.625	0.0930389608498343	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1717027,rs17367504	13	GSM816657
0.177	0.274285436550762	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17080102,rs17367504	14	GSM816653
-0.446	0.121487522628141	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs198846	15	GSM816658
-0.183	0.176180397655945	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17080102,rs17367504	16	GSM816659
-1.239	0.0201007421462398	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17608766	17	GSM816648
0.854	0.543323479885827	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs17367504,rs17608766	18	GSM736626,GSM736595
-0.670	0.0689076543769254	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs1378942	19	GSM736501,GSM736492
1.548	0.921193967276363	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs17249754,rs17367504,rs17608766,rs3096277,rs381815,rs653178	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-1.371	0	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig		21	GSM736604,GSM736529
-0.397	0.129198381955899	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs17367504,rs3096277	22	GSM736592,GSM1024760
1.504	0.826536123987681	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs1378942,rs198846,rs880315	23	GSM736502,GSM1024792
1.863	1.05988649316803	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs11222084,rs1173771,rs17608766,rs871606	24	GSM736583,GSM736505
4.296	2.84533931417754	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11191548,rs11222084,rs1173771,rs1378942,rs17608766,rs6015450,rs871606	25	GSM816638
1.827	1.09746007378742	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs11222084,rs1173771,rs17608766,rs653178,rs871606	26	GSM736509,GSM736554
2.417	1.44902243214745	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs11222084,rs17080102,rs17367504,rs17608766,rs6015450	27	GSM1024745,GSM1024747
