Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
6.004	5.4016910941029	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs11581062,rs12212193,rs12368653,rs12466022,rs1323292,rs1738074,rs2293370,rs2300603,rs2300747,rs4902647,rs4939490,rs874628,rs9292777,rs9657904	1	GSM701525
4.516	3.64393492415096	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs10466829,rs12212193,rs12466022,rs1335532,rs1738074,rs17445836,rs2300603,rs2546890,rs4410871,rs4902647,rs9282641,rs9657904	2	GSM701526
5.267	4.35784919520354	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs11581062,rs12212193,rs12466022,rs1323292,rs1335532,rs1738074,rs2300603,rs4902647,rs4939490,rs874628,rs9292777,rs9657904	3	GSM665837
7.226	7.51855737149769	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs11581062,rs12212193,rs12368653,rs12466022,rs1323292,rs1335532,rs140522,rs1738074,rs2283792,rs2293370,rs2300603,rs2300747,rs2546890,rs4902647,rs4939490,rs7090512,rs7200786,rs874628,rs9292777,rs9657904	4	GSM701516
5.199	4.71066750851172	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs11581062,rs12212193,rs12466022,rs1323292,rs1335532,rs1738074,rs2300603,rs2303759,rs2546890,rs4902647,rs4939490,rs6897932,rs7090512,rs874628,rs9292777,rs9657904	5	GSM701489
6.419	5.99653946789049	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs12212193,rs12466022,rs1323292,rs1335532,rs1738074,rs2283792,rs2300603,rs4410871,rs4902647,rs4939490,rs7090512,rs874628,rs9282641,rs9292777,rs9657904,rs9891119	6	GSM701491
4.929	4.15459868018807	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs11581062,rs12212193,rs12466022,rs1323292,rs1335532,rs1738074,rs2300603,rs4902647,rs4939490,rs7090512,rs874628,rs9292777,rs9657904	7	GSM665812
5.660	5.24240660947583	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs11581062,rs12212193,rs12466022,rs1323292,rs1335532,rs1738074,rs2300603,rs2546890,rs4902647,rs4939490,rs874628,rs9282641,rs9292777,rs9657904	8	GSM665839
5.736	5.40991644674338	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs11581062,rs12212193,rs12466022,rs1323292,rs13333054,rs1335532,rs1738074,rs2300603,rs2303759,rs4613763,rs4902647,rs4939490,rs7090512,rs744166,rs874628,rs9292777,rs9657904	9	GSM817166
4.873	3.85624035205919	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs12212193,rs12466022,rs1323292,rs1335532,rs1738074,rs2300603,rs2303759,rs4902647,rs4939490,rs874628,rs9292777,rs9657904	10	GSM701539
5.311	4.73686359822736	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs11581062,rs12212193,rs12466022,rs1738074,rs2248359,rs2293152,rs2300603,rs4410871,rs4902647,rs4939490,rs533259,rs744166,rs874628,rs9292777,rs9657904	11	GSM817160
5.551	5.04036245867397	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs11581062,rs12212193,rs12368653,rs12466022,rs1323292,rs1335532,rs1738074,rs2293370,rs2300603,rs4902647,rs4939490,rs7090512,rs7238078,rs744166,rs874628,rs9292777,rs9657904	12	GSM665813
6.082	5.50891858657681	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs11581062,rs12212193,rs12368653,rs12466022,rs1323292,rs1738074,rs2300603,rs4902647,rs4939490,rs744166,rs9282641,rs9292777,rs9657904	13	GSM665838
5.153	4.45799789925236	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs11129295,rs12212193,rs12466022,rs1323292,rs1335532,rs140522,rs1738074,rs2119704,rs2546890,rs4902647,rs4939490,rs7090512,rs9292777,rs9657904	14	GSM701499
4.128	2.9658298996769	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs12212193,rs12466022,rs1323292,rs1738074,rs4902647,rs4939490,rs874628,rs9292777,rs9657904	15	GSM701540
3.386	2.48618774386151	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs12212193,rs12466022,rs1335532,rs1738074,rs17445836,rs4902647,rs703842,rs9282641,rs9292777	16	GSM701503
2.597	1.75027010774905	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs12212193,rs13333054,rs1335532,rs1738074,rs874628,rs9282641,rs9292777	17	GSM701541
4.110	3.22198680481962	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs10466829,rs12212193,rs12466022,rs12722489,rs1335532,rs1738074,rs1800693,rs2300603,rs2546890,rs3118470,rs7090512,rs9282641,rs9657904	18	GSM701492
3.870	2.97244279607462	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs10466829,rs12212193,rs12466022,rs1335532,rs1738074,rs17445836,rs2300603,rs2303759,rs2546890,rs4902647,rs7090512,rs9282641	19	GSM701493
4.426	3.59450952510558	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs10466829,rs12212193,rs12466022,rs1335532,rs1738074,rs2300603,rs2303759,rs2546890,rs4410871,rs7090512,rs874628,rs9282641,rs9292777,rs9657904	20	GSM701507
1.523	1.02354357502829	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs12212193,rs12466022,rs17824933,rs4285028,rs4902647,rs874628,rs9282641,rs9292777,rs9657904	21	GSM701500
1.231	0.775133879175442	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	rs12212193,rs12466022,rs1738074,rs17824933,rs874628,rs9282641	22	GSM530664
3.071	2.29309777979941	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig	rs11154801,rs12212193,rs12466022,rs1738074,rs17824933,rs2248359,rs4902647,rs874628,rs9282641,rs9292777	23	GSM530658
2.418	1.59824890277436	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig	rs12212193,rs12466022,rs1323292,rs1738074,rs17824933,rs2300603,rs7090512,rs874628	24	GSM530659
3.087	2.28304113293995	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS14206.twopass.merge150.wgt10.zgt2.wig	rs11154801,rs12212193,rs12466022,rs1738074,rs17824933,rs2546890,rs7090512,rs9282641,rs9292777,rs9657904	25	GSM595919
2.198	1.42659621973754	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01508.DS11202.twopass.merge150.wgt10.zgt2.wig	rs12212193,rs12368653,rs12466022,rs1323292,rs1738074,rs17824933,rs874628,rs9292777	26	GSM493386
3.476	2.62716238553156	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01517.DS14129.twopass.merge150.wgt10.zgt2.wig	rs11154801,rs12212193,rs12466022,rs1738074,rs17824933,rs2300747,rs7090512,rs9282641,rs9292777,rs9657904	27	GSM595917
4.649	3.85511613721164	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01520.DS12785.twopass.merge150.wgt10.zgt2.wig	rs12212193,rs12368653,rs12466022,rs1323292,rs1738074,rs17824933,rs2248359,rs2546890,rs7090512,rs744166,rs874628,rs9282641,rs9292777	28	GSM530660
1.558	0.971950328846334	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01527.DS11666.twopass.merge150.wgt10.zgt2.wig	rs12212193,rs12466022,rs1323292,rs1738074,rs17824933,rs2546890,rs9282641	29	GSM493387
2.408	1.58620388966584	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS12274.twopass.merge150.wgt10.zgt2.wig	rs12212193,rs12368653,rs12466022,rs1738074,rs17824933,rs2293370,rs874628,rs9282641	30	GSM493384
2.840	1.94383251677321	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS14197.twopass.merge150.wgt10.zgt2.wig	rs11154801,rs12212193,rs12466022,rs1738074,rs17824933,rs2546890,rs7090512,rs9282641,rs9657904	31	GSM595918
4.144	3.36561886969916	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01536.DS12339.twopass.merge150.wgt10.zgt2.wig	rs11154801,rs12212193,rs12368653,rs12466022,rs1738074,rs17824933,rs2248359,rs4410871,rs4939490,rs874628,rs9282641,rs9292777	32	GSM530652
5.125	4.60933508691173	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01549.DS12734.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs11154801,rs12212193,rs12368653,rs12466022,rs1323292,rs1738074,rs17445836,rs17824933,rs2248359,rs4902647,rs7090512,rs874628,rs9282641,rs9292777	33	GSM530657
2.678	1.86111695434283	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01562.DS13196.twopass.merge150.wgt10.zgt2.wig	rs11154801,rs12212193,rs12466022,rs1738074,rs17824933,rs7090512,rs874628,rs9282641,rs9657904	34	GSM530663
4.713	4.15910573654127	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01701.DS17112.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs12048904,rs12212193,rs12466022,rs1738074,rs17445836,rs17824933,rs2248359,rs2293370,rs2303759,rs2546890,rs7090512,rs874628,rs9282641,rs9657904	35	GSM774208
6.048	5.96569247040344	CD56_Mobilised;	Blood	UW.Mobilized_CD56_Primary_Cells.ChromatinAccessibility.RO_01689.DS16376.twopass.merge150.wgt10.zgt2.wig	rs12212193,rs12368653,rs12466022,rs12722489,rs1323292,rs170934,rs1738074,rs17824933,rs2300603,rs2546890,rs4410871,rs4902647,rs4939490,rs7090512,rs744166,rs9282641,rs9292777,rs9657904	36	GSM665820
5.266	4.44687826211005	CD56	Blood	UW.CD56_Primary_Cells.ChromatinAccessibility.RO_01679.DS17189.twopass.merge150.wgt10.zgt2.wig	rs1077667,rs12212193,rs12466022,rs1323292,rs1335532,rs1738074,rs2293370,rs2300747,rs4902647,rs874628,rs9292777,rs9657904	37	GSM665836
5.192	4.26871510551082	CD56	Blood	UW.CD56_Primary_Cells.ChromatinAccessibility.RO_01701.DS17443.twopass.merge150.wgt10.zgt2.wig	rs10201872,rs1077667,rs12212193,rs12368653,rs12466022,rs12722489,rs13333054,rs1738074,rs2300747,rs4902647,rs744166,rs9282641,rs9292777,rs9657904	38	GSM701508
2.344	1.60771012567952	Breast_vHMEC	Breast	UW.Breast_vHMEC.ChromatinAccessibility.RM035.DS18406.twopass.merge150.wgt10.zgt2.wig	rs12212193,rs12368653,rs12466022,rs2293152,rs4410871,rs4902647,rs874628,rs9292777,rs9657904	39	GSM753973
2.434	1.66640771551113	Breast_vHMEC	Breast	UW.Breast_vHMEC.ChromatinAccessibility.RM035.DS18438.twopass.merge150.wgt10.zgt2.wig	rs12212193,rs12466022,rs2293152,rs2425752,rs4410871,rs4902647,rs7090512,rs874628,rs9292777	40	GSM753974
