Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
-0.062	0.179029548231512	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3138144	1	GSM816644
-0.527	0.0898731285539494	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10500355	2	Lookup
-0.003	0.193326408569796	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs3138144	3	Lookup
-0.019	0.189565674068844	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs3138144	4	Lookup
-0.173	0.154014617876747	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs3138144	5	Lookup
0.929	0.534635024599336	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11145465,rs2969180	6	GSM816664
1.356	0.703309908489324	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs1881492,rs3138144	7	GSM736607
-0.810	0	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig		8	GSM736558,GSM736635
0.185	0.240062773724014	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs3138144	9	GSM736525
-0.978	0	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig		10	GSM736512,GSM736561
0.424	0.352409259608425	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs3138144,rs4778879	11	GSM816665,GSM736496,GSM736620
1.365	0.754488655552245	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs14165,rs1881492,rs3138144	12	GSM816656
0.424	0.340399254742533	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1881492,rs3138144	13	GSM816657
-1.047	4.34294517858653e-11	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig		14	GSM816653
-0.373	0.115077285156228	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3138144	15	GSM816658
-0.183	0.152663378278842	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1881492	16	GSM816659
-0.522	0.0918173052600577	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs14165	17	GSM816648
1.049	0.572563649360822	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs1881492,rs3138144	18	GSM736626,GSM736595
-0.147	0.160777837751672	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs3138144	19	GSM736501,GSM736492
0.139	0.258361492894992	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs3138144,rs4778879	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.018	0.198481923608083	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs3138144	21	GSM736604,GSM736529
0.573	0.399189772941619	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs3138144,rs4778879	22	GSM736592,GSM1024760
-0.861	9.64327466553287e-17	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig		23	GSM736502,GSM1024792
1.035	0.575008513657003	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs12205363,rs3138144	24	GSM736583,GSM736505
-0.037	0.185168186995353	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3138144	25	GSM816638
-0.335	0.11993641002359	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs3138144	26	GSM736509,GSM736554
1.059	0.588067824534334	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs1881492,rs3138144	27	GSM1024745,GSM1024747
0.056	0.207912631207657	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs3138144	28	GSM736609,GSM736523
-0.243	0.139873419183596	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs3138144	29	GSM736571,GSM736521
0.301	0.271689116378078	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs235770	30	GSM736599,GSM736591
0.061	0.209304232528428	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs3138144	31	GSM736577,GSM736573
0.160	0.235799352191239	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs3138144	32	GSM736611,GSM736624
-0.149	0.15955968178048	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs3138144	33	GSM736542,GSM736511
-0.984	4.3429403569492e-11	HMVEC-LLy	Blood vessel	HMVEC_LLy-DS13185.twopass.merge150.wgt10.zgt2.wig		34	GSM736507,GSM736627
-0.032	0.186620292852843	HPAEC	Blood vessel	HPAEC-DS12916.hg19.twopass.merge150.wgt10.zgt2.wig	rs3138144	35	GSM1024763
-0.081	0.174471663938131	HPAF	Blood vessel	HPAF-DS13411.twopass.merge150.wgt10.zgt2.wig	rs3138144	36	GSM736555,GSM736614
0.220	0.280895446063141	HUVEC	Blood vessel	HUVEC-all.twopass.merge150.wgt10.zgt2.wig	rs3138144,rs4778879	37	GSM816646,GSM736575,GSM736533
-0.073	0.200036854650815	Osteobl	Bone	wgEncodeOpenChromDnaseOsteoblAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs14165,rs3138144	38	Lookup
-0.009	0.192062923940303	BE2_C	Brain	BE_2_C-DS14625.twopass.merge150.wgt10.zgt2.wig	rs3138144	39	Lookup
-0.392	0.110701805150281	Gliobla	Brain	wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3138144	40	GSM816668
1.661	0.892256592531928	Medullo	Brain	wgEncodeOpenChromDnaseMedulloAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12205363,rs14165,rs1881492,rs3138144	41	GSM816636
0.910	0.547679798034452	SK-N-MC	Brain	SK_N_MC-DS14408.twopass.merge150.wgt10.zgt2.wig	rs12205363,rs3138144	42	GSM736522,GSM736570
0.976	0.489005914118499	SK-N-SH	Brain	SKNSH-DS8482.twopass.merge150.wgt10.zgt2.wig	rs3138144	43	GSM1008585
1.172	0.696239609889504	HA-h	Brain hippocampus	HAh-DS15192.twopass.merge150.wgt10.zgt2.wig	rs10500355,rs12205363,rs3138144	44	GSM736594,GSM736535
0.175	0.267987383444538	HMEC	Breast	HMEC-all.twopass.merge150.wgt10.zgt2.wig	rs3138144,rs4778879	45	GSM816669,GSM736634,GSM736552
1.274	0.657354814082801	HMF	Breast	HMF-DS13363.twopass.merge150.wgt10.zgt2.wig	rs12205363,rs3138144	46	GSM736628,GSM736541
