Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
0.655	0.422853744286486	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs2284746	1	GSM816644
-0.980	0.0428212450476003	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2284746	2	Lookup
-1.343	4.82163733276643e-17	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig		3	Lookup
0.483	0.355047962308051	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs2277027,rs6903823	4	Lookup
0.406	0.333766176450986	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs6903823	5	Lookup
1.354	0.715310637678873	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs2284746,rs2798641	6	GSM816664
-0.232	0.143812384961416	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs2798641	7	GSM736607
-0.075	0.176500003911302	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2284746	8	GSM736558,GSM736635
1.736	0.941400382799887	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs11001819,rs2277027,rs6903823	9	GSM736525
-0.242	0.140609554441367	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs6903823	10	GSM736512,GSM736561
-0.822	0.0527621318273441	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs2284746	11	GSM816665,GSM736496,GSM736620
0.832	0.483814927944534	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12447804,rs2284746	12	GSM816656
0.689	0.416531172493556	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12447804,rs2284746,rs2571445	13	GSM816657
1.601	0.8399792931267	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12447804,rs2571445,rs6903823	14	GSM816653
-0.784	0.0588955484720286	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2571445	15	GSM816658
0.302	0.2995548766458	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs12447804,rs2284746	16	GSM816659
-0.867	0.0481705186372262	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7068966	17	GSM816648
0.478	0.357815805896881	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs1036429,rs2284746	18	GSM736626,GSM736595
-0.300	0.128426419900881	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs6903823	19	GSM736501,GSM736492
0.524	0.395322231309547	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs1036429,rs2284746,rs6903823	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.252	0.137834313911408	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs6903823	21	GSM736604,GSM736529
-0.734	0.062673293541156	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs2284746	22	GSM736592,GSM1024760
-1.103	4.82163733276643e-17	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig		23	GSM736502,GSM1024792
5.353	3.78564076650708	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs12477314,rs2284746,rs2798641,rs6903823,rs7068966,rs993925	24	GSM736583,GSM736505
2.640	1.51595443261859	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs2284746,rs2798641,rs7068966	25	GSM816638
2.076	1.17584961644234	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs11172113,rs2798641,rs3817928,rs993925	26	GSM736509,GSM736554
0.626	0.407205496395957	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs6903823	27	GSM1024745,GSM1024747
2.698	1.498901063985	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs2865531,rs3817928,rs6903823	28	GSM736609,GSM736523
2.181	1.21626828534083	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs3817928,rs6903823,rs7068966	29	GSM736571,GSM736521
2.099	1.11328842456484	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs6903823,rs7068966	30	GSM736599,GSM736591
2.517	1.44603129235322	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs3817928,rs6903823,rs7068966	31	GSM736577,GSM736573
1.719	0.923713312909317	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs2284746,rs6903823,rs7068966	32	GSM736611,GSM736624
0.527	0.381221979918408	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs3817928,rs6903823	33	GSM736542,GSM736511
