Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.488	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11653144,rs1668873	1	GSM816644
0.319	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs647316,rs4305276,rs4812048,rs210134,rs2950390	2	Lookup
2.510	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs342296,rs11653144,rs17655730,rs10506328,rs7961894,rs342293,rs13042885	3	Lookup
-0.797	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs3000073,rs7961894	4	Lookup
3.582	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs11071720,rs11734132,rs1354034,rs16971217,rs1668873,rs2015599,rs3000073,rs7961894,rs210134,rs342293	5	Lookup
1.837	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2138852,rs649729,rs8109288,rs6136489,rs944002,rs7961894	6	GSM816664
2.303	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs11734132,rs1668873,rs2015599,rs10506328,rs17396340,rs342293	7	GSM736607
0.636	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs647316,rs17655730,rs7961894	8	GSM736558,GSM736635
0.993	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs647316,rs17655730,rs7961894,rs342293	9	GSM736525
1.517	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs647316,rs17655730,rs7961894,rs1172130,rs342293	10	GSM736512,GSM736561
0.261	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs647316,rs7961894,rs1172130,rs210134,rs477895	11	GSM816665,GSM736496,GSM736620
1.017	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1668873,rs17655730,rs3000073,rs10506328,rs7961894,rs17396340	12	GSM816656
1.048	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs647316,rs11734132,rs2138852,rs3000073,rs7961894,rs2950390	13	GSM816657
0.853	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4305276,rs1668873,rs7961894,rs2950390	14	GSM816653
-0.953	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7961894,rs210134	15	GSM816658
-0.734	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs647316,rs1668873	16	GSM816659
-0.108	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11071720,rs1668873,rs7961894,rs342293	17	GSM816648
1.897	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs1668873,rs6136489,rs3000073,rs7961894,rs210134,rs13042885	18	GSM736626,GSM736595
0.114	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs342296,rs2015599,rs2950390	19	GSM736501,GSM736492
