Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.562	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs12355688,rs10822013,rs889312	1	GSM701525
1.006	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs10871290,rs12355688,rs10822013,rs704010	2	GSM701526
0.451	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs10871290,rs8100241,rs10822013	3	GSM665837
0.739	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs3817198,rs10871290,rs8100241,rs10822013,rs889312	4	GSM701516
1.628	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs3817198,rs10871290,rs8100241,rs12355688,rs10822013,rs2075555,rs889312	5	GSM701489
0.558	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs1926657,rs12355688,rs10822013,rs704010	6	GSM701491
0.512	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs3817198,rs12355688,rs10822013,rs889312	7	GSM665812
1.871	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs3817198,rs10871290,rs12355688,rs10822013,rs889312,rs704010	8	GSM665839
1.143	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs3817198,rs10871290,rs8100241,rs10822013,rs2075555,rs889312	9	GSM817166
0.760	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs3817198,rs8100241,rs12355688,rs10822013	10	GSM701539
-0.114	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs3817198,rs6788895,rs10822013	11	GSM817160
1.522	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs3817198,rs1562430,rs8100241,rs6788895,rs10822013,rs889312,rs4973768	12	GSM665813
0.632	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs8100241,rs12355688,rs10822013	13	GSM665838
0.438	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs3817198,rs10822013,rs889312,rs2284378	14	GSM701499
-0.151	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs3817198,rs10822013	15	GSM701540
0.996	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs8100241,rs12355688,rs8170,rs704010	16	GSM701503
