Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
3.461	2.4140530201805	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs2588809,rs3760982,rs3903072,rs4245739,rs6001930,rs889312,rs941764	1	GSM701525
0.904	0.596691418196243	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs11780156,rs3760982,rs704010	2	GSM701526
0.982	0.624495586794021	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs1353747,rs3760982,rs8100241	3	GSM665837
3.358	2.29557854561865	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12422552,rs1353747,rs2016394,rs204247,rs3760982,rs3817198,rs7072776,rs8100241,rs889312,rs941764	4	GSM701516
2.713	1.81024844986791	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12422552,rs1353747,rs2016394,rs3760982,rs3817198,rs3903072,rs8100241,rs889312,rs941764	5	GSM701489
0.337	0.358089846572982	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12422552,rs704010,rs941764	6	GSM701491
1.339	0.846767821707491	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11075995,rs11552449,rs1353747,rs3817198,rs889312,rs941764	7	GSM665812
1.677	1.04296361066308	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs3760982,rs3817198,rs704010,rs889312,rs941764	8	GSM665839
2.282	1.4738673718563	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12493607,rs1353747,rs2016394,rs3760982,rs3817198,rs8100241,rs889312,rs941764	9	GSM817166
1.180	0.733707778028507	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs1353747,rs3760982,rs3817198,rs8100241	10	GSM701539
0.552	0.452051769952504	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs1353747,rs2016394,rs3817198,rs941764	11	GSM817160
3.031	2.10124536196054	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12422552,rs12493607,rs1562430,rs2588809,rs3760982,rs3817198,rs4973768,rs8100241,rs889312,rs941764	12	GSM665813
1.804	1.11667056877379	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs1353747,rs3760982,rs8100241,rs941764	13	GSM665838
2.460	1.51573882170244	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs11571833,rs1353747,rs2284378,rs3760982,rs3817198,rs3903072,rs889312	14	GSM701499
1.198	0.740369167761344	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs2016394,rs3817198,rs941764	15	GSM701540
1.784	1.0887011273182	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs11552449,rs132390,rs6001930,rs704010,rs8100241,rs8170,rs9693444	16	GSM701503
3.805	2.70428493527853	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12493607,rs4973768,rs6001930,rs704010,rs8100241,rs889312,rs941764,rs9693444	17	GSM701541
1.337	0.820028397914137	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs2016394,rs2284378,rs3760982,rs704010,rs889312	18	GSM701492
2.057	1.2706370551862	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12422552,rs2016394,rs3760982,rs3817198,rs8100241,rs889312	19	GSM701493
1.756	1.04609242791515	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12422552,rs13281615,rs3760982,rs8100241,rs889312,rs9693444	20	GSM701507
2.317	1.5254159801233	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs11552449,rs12422552,rs1292011,rs132390,rs17356907,rs2981578,rs3757318,rs4784227,rs527616,rs8100241,rs941764	21	GSM701500
2.643	1.75582264475805	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12422552,rs132390,rs1562430,rs3817198,rs704010,rs8100241,rs889312	22	GSM530664
3.759	2.71369524543777	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12710696,rs132390,rs1353747,rs3817198,rs6504950,rs704010,rs8100241,rs889312,rs9693444	23	GSM530658
2.468	1.55404442344391	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs132390,rs3817198,rs6504950,rs704010,rs8100241,rs889312	24	GSM530659
2.547	1.69690604835543	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS14206.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12493607,rs132390,rs1353747,rs3760982,rs6504950,rs8100241,rs889312	25	GSM595919
1.039	0.675379102072244	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01508.DS11202.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12422552,rs132390,rs1562430,rs889312	26	GSM493386
1.257	0.785254846523846	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01517.DS14129.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs132390,rs6504950,rs704010,rs889312	27	GSM595917
1.569	0.953895467394326	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01520.DS12785.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs132390,rs3817198,rs6504950,rs704010,rs889312	28	GSM530660
0.941	0.627064683586919	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01527.DS11666.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs132390,rs3817198,rs704010,rs889312	29	GSM493387
1.859	1.13505635345733	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS12274.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12422552,rs132390,rs1353747,rs704010,rs8100241	30	GSM493384
1.096	0.700564710156148	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS14197.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs132390,rs1353747,rs704010,rs889312	31	GSM595918
1.052	0.669555428349397	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01536.DS12339.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs132390,rs2981579,rs704010,rs9693444	32	GSM530652
2.638	1.77461670322324	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01549.DS12734.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12422552,rs12493607,rs132390,rs1562430,rs2016394,rs6504950,rs704010,rs889312	33	GSM530657
1.575	0.978178267598789	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01562.DS13196.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12493607,rs132390,rs2016394,rs704010,rs889312	34	GSM530663
1.888	1.23450141204183	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01701.DS17112.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs132390,rs2236007,rs3817198,rs6504950,rs704010,rs8100241,rs889312	35	GSM774208
2.804	1.98106722007443	CD56_Mobilised;	Blood	UW.Mobilized_CD56_Primary_Cells.ChromatinAccessibility.RO_01689.DS16376.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12422552,rs12493607,rs1353747,rs3760982,rs3817198,rs6678914,rs8100241,rs889312,rs941764	36	GSM665820
0.753	0.514680685820354	CD56	Blood	UW.CD56_Primary_Cells.ChromatinAccessibility.RO_01679.DS17189.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs3817198,rs941764	37	GSM665836
1.450	0.907555005080209	CD56	Blood	UW.CD56_Primary_Cells.ChromatinAccessibility.RO_01701.DS17443.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs1353747,rs3817198,rs4808801,rs704010,rs941764	38	GSM701508
3.603	2.75163374004564	Breast_vHMEC	Breast	UW.Breast_vHMEC.ChromatinAccessibility.RM035.DS18406.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12422552,rs12710696,rs17356907,rs17817449,rs2981578,rs3760982,rs4808801,rs527616,rs6504950,rs704010	39	GSM753973
5.358	4.93360325127013	Breast_vHMEC	Breast	UW.Breast_vHMEC.ChromatinAccessibility.RM035.DS18438.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11075995,rs11552449,rs11780156,rs12422552,rs12710696,rs17356907,rs17817449,rs2236007,rs2981578,rs2981579,rs3760982,rs4808801,rs6001930,rs6504950,rs704010	40	GSM753974
1.336	0.837030791237419	H1	ES Cell	UW.H1.ChromatinAccessibility.DS18873.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs11820646,rs12422552,rs132390,rs2016394,rs2236007,rs2981578,rs2981579,rs8100241	41	GSM878616
1.779	1.12573125107351	H1	ES Cell	UW.H1.ChromatinAccessibility.DS19100.twopass.merge150.wgt10.zgt2.wig	rs10822013,rs11552449,rs12422552,rs2016394,rs2236007,rs2981578,rs8100241	42	GSM878621
