Zscore	Pvalue	Cell	Tissue	File	SNPs	Number	Accession
1.418	0.806031383139871	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094,rs881858	1	GSM701525
0.436	0.349896320251014	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094	2	GSM701526
1.389	0.752224617025466	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs1260326,rs6420094	3	GSM665837
0.501	0.388623429436379	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs267734,rs6420094	4	GSM701516
1.261	0.735016940259632	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs267734,rs6420094,rs881858	5	GSM701489
0.171	0.266013633033207	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094	6	GSM701491
0.106	0.247778515309517	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094	7	GSM665812
0.329	0.315248101764883	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094	8	GSM665839
0.647	0.431154852538428	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094,rs881858	9	GSM817166
1.945	1.03434602840309	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs1260326,rs6420094,rs881858	10	GSM701539
0.761	0.491690601100094	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs267734,rs6420094	11	GSM817160
0.462	0.375521746292876	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs267734,rs6420094	12	GSM665813
0.556	0.387776917603237	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094	13	GSM665838
0.118	0.250800738420639	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094	14	GSM701499
0.494	0.366858477982664	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094	15	GSM701540
3.001	1.82436687654618	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs10794720,rs6420094,rs7805747,rs881858,rs911119	16	GSM701503
