Zscore	Cell	Tissue	File	SNPs	Number	Accession
-0.055	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs671,rs12740374,rs646776,rs1333042,rs12413409,rs2123536,rs16965039	1	GSM816644
-0.236	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs671,rs12269901,rs3825807,rs216172,rs3739998,rs1231206,rs2229238,rs46522,rs1122608,rs17609940,rs11684202,rs16965039	2	Lookup
-1.319	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs1412444,rs7136259,rs579459,rs11684202	3	Lookup
0.666	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs12239436,rs1412444,rs3729639,rs8060686,rs11066015,rs216172,rs3739998,rs1122608,rs12190287,rs11684202	4	Lookup
0.180	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs12740374,rs1412444,rs4773144,rs579459,rs9508025,rs3739998,rs2229238,rs12190287,rs11684202	5	Lookup
-0.910	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs3825807,rs11066015,rs3739998,rs1122608,rs12190287,rs17609940	6	GSM816664
-2.235	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs3184504	7	GSM736607
-1.014	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs216172,rs3739998,rs16965039	8	GSM736558,GSM736635
0.207	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs1412444,rs3729639,rs7203193,rs3184504,rs216172,rs3739998,rs16965039	9	GSM736525
-0.621	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs1412444,rs216172,rs3739998,rs46522,rs16965039	10	GSM736512,GSM736561
0.602	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs671,rs7586970,rs12740374,rs1412444,rs12269901,rs964184,rs3184504,rs4804155,rs11066015,rs216172,rs3739998,rs10933436,rs17609940,rs11684202	11	GSM816665,GSM736496,GSM736620
