Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.764	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4643574,rs448720,rs1324015,rs10481151,rs13169113,rs904251,rs1265879	1	GSM816644
-0.421	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs11856323,rs11032423,rs6574433,rs904251,rs939876,rs16832015,rs11064994	2	Lookup
-0.115	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs4145170,rs448720,rs6118083,rs3781684,rs2058350	3	Lookup
-0.213	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs1757171,rs17001239,rs2002030,rs904251,rs16832015	4	Lookup
-1.182	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs4145170,rs6486986,rs6118083	5	Lookup
0.662	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs448720,rs17638629,rs17586674,rs2002030,rs904251,rs1820460,rs2289577	6	GSM816664
-0.950	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs4145170,rs12423712	7	GSM736607
-0.188	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs2002030,rs1265879,rs16832015	8	GSM736558,GSM736635
-0.772	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs4601609,rs2002030,rs16832015	9	GSM736525
0.130	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs448720,rs2002030,rs904251,rs16832015,rs4668356	10	GSM736512,GSM736561
-0.436	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs4601609,rs448720,rs2002030,rs9804317,rs16832015,rs1820460,rs4668356	11	GSM816665,GSM736496,GSM736620
-0.616	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs17586674,rs904251,rs16832015,rs4668356,rs2289577	12	GSM816656
0.794	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs16851254,rs11032423,rs17586674,rs3744064,rs2002030,rs904251,rs2326017,rs4668356,rs2289577	13	GSM816657
0.069	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs767210,rs2002030,rs904251,rs2289577,rs11064994	14	GSM816653
-0.772	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1078373,rs767210,rs904251,rs2289577,rs11064994	15	GSM816658
-1.317	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs16851254,rs904251,rs2289577	16	GSM816659
-1.058	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4601609,rs6683071,rs767210,rs2002030,rs9442235	17	GSM816648
-0.538	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs4145170,rs448720,rs1078373,rs4668356	18	GSM736626,GSM736595
-0.257	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs16851254,rs448720,rs960089,rs2058350,rs17086609	19	GSM736501,GSM736492
-0.613	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs4601609,rs448720,rs10481151,rs517811,rs4775031,rs9804317,rs1820460,rs4668356	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
-0.433	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs4145170,rs969962,rs7782376,rs904251	21	GSM736604,GSM736529
0.243	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs4601609,rs6050267,rs448720,rs904251,rs9804317,rs16832015,rs1820460,rs4668356	22	GSM736592,GSM1024760
-0.390	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs904251,rs12423712,rs4668356	23	GSM736502,GSM1024792
