Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.274	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB1_1-3-2011.DS17702.twopass.merge150.wgt10.zgt2.wig	rs9623117,rs902774,rs5759167	1	GSM701525
1.091	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.CB6_1-4-2011.DS17706.twopass.merge150.wgt10.zgt2.wig	rs902774,rs742134,rs7501939,rs16902094	2	GSM701526
1.227	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01679.DS17198.twopass.merge150.wgt10.zgt2.wig	rs902774,rs12621278,rs7501939,rs10187424,rs5759167	3	GSM665837
-0.086	CD3	Blood	UW.CD3_Primary_Cells.ChromatinAccessibility.RO_01701.DS17534.twopass.merge150.wgt10.zgt2.wig	rs9623117,rs902774,rs10875943,rs12621278	4	GSM701516
1.326	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS16955.twopass.merge150.wgt10.zgt2.wig	rs9623117,rs11704416,rs902774,rs12621278,rs6465657,rs7501939,rs5759167	5	GSM701489
1.420	CD4_Mobilised;	Blood	UW.Mobilized_CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17175.twopass.merge150.wgt10.zgt2.wig	rs9623117,rs11228565,rs902774,rs8102476,rs7501939,rs5759167	6	GSM701491
1.173	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01549.DS15947.twopass.merge150.wgt10.zgt2.wig	rs9623117,rs902774,rs10875943,rs1983891,rs8102476,rs5759167	7	GSM665812
0.634	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01679.DS17212.twopass.merge150.wgt10.zgt2.wig	rs9623117,rs902774,rs6465657,rs5759167	8	GSM665839
2.309	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01689.DS17329.twopass.merge150.wgt10.zgt2.wig	rs9623117,rs103294,rs11228565,rs902774,rs9311171,rs12621278,rs1983891,rs5759167	9	GSM817166
1.082	CD4	Blood	UW.CD4_Primary_Cells.ChromatinAccessibility.RO_01701.DS17881.twopass.merge150.wgt10.zgt2.wig	rs902774,rs10875943,rs6465657,rs5759167	10	GSM701539
1.906	CD8_Mobilised;	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	rs9623117,rs11704416,rs902774,rs2735839,rs12621278,rs5759167,rs16902094	11	GSM817160
0.074	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	rs9623117,rs445114,rs902774,rs12621278,rs16902094	12	GSM665813
-0.112	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	rs11704416,rs902774	13	GSM665838
0.632	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	rs902774,rs12621278,rs8102476,rs7210100,rs16902094	14	GSM701499
-0.706	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	rs902774	15	GSM701540
0.867	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	rs902774,rs6465657,rs8102476,rs13385191	16	GSM701503
0.189	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	rs902774,rs742134,rs6465657	17	GSM701541
-0.139	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	rs6763931,rs902774,rs16902094	18	GSM701492
1.291	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	rs902774,rs742134,rs8102476,rs7501939,rs16902094	19	GSM701493
3.073	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	rs9623117,rs6763931,rs902774,rs742134,rs4242382,rs8102476,rs7501939,rs16902094,rs13385191	20	GSM701507
2.632	CD20	Blood	UW.CD20_Primary_Cells.ChromatinAccessibility.RO_01778.DS17371.twopass.merge150.wgt10.zgt2.wig	rs11704416,rs902774,rs12621278,rs339331,rs1983891,rs3123078,rs10486567,rs7501939,rs5759167,rs6983267	21	GSM701500
-0.531	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_00738.DS13199.twopass.merge150.wgt10.zgt2.wig	rs902774,rs1512268	22	GSM530664
2.020	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01480.DS12771.twopass.merge150.wgt10.zgt2.wig	rs11704416,rs902774,rs12621278,rs7501939,rs1512268,rs5759167	23	GSM530658
1.902	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS12774.twopass.merge150.wgt10.zgt2.wig	rs9623117,rs11704416,rs902774,rs7501939,rs1512268,rs5759167	24	GSM530659
1.582	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01492.DS14206.twopass.merge150.wgt10.zgt2.wig	rs11704416,rs902774,rs4430796,rs7501939,rs1512268,rs5759167	25	GSM595919
2.389	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01508.DS11202.twopass.merge150.wgt10.zgt2.wig	rs7679673,rs11704416,rs902774,rs12621278,rs1512268,rs5759167,rs6983267	26	GSM493386
1.874	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01517.DS14129.twopass.merge150.wgt10.zgt2.wig	rs9623117,rs11704416,rs902774,rs6465657,rs7501939,rs1512268	27	GSM595917
1.254	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01520.DS12785.twopass.merge150.wgt10.zgt2.wig	rs11704416,rs902774,rs12621278,rs1512268,rs5759167	28	GSM530660
0.374	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01527.DS11666.twopass.merge150.wgt10.zgt2.wig	rs902774,rs7501939,rs1512268,rs5759167	29	GSM493387
2.216	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS12274.twopass.merge150.wgt10.zgt2.wig	rs11704416,rs902774,rs12621278,rs6465657,rs1512268,rs5759167	30	GSM493384
1.638	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01535.DS14197.twopass.merge150.wgt10.zgt2.wig	rs11704416,rs902774,rs6465657,rs7501939,rs1512268,rs5759167	31	GSM595918
1.321	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01536.DS12339.twopass.merge150.wgt10.zgt2.wig	rs11704416,rs902774,rs7501939,rs1512268,rs5759167	32	GSM530652
1.389	CD34_Mobilised;	Blood	UW.Mobilized_CD34_Primary_Cells.ChromatinAccessibility.RO_01549.DS12734.twopass.merge150.wgt10.zgt2.wig	rs7679673,rs11704416,rs902774,rs12621278,rs1512268,rs5759167	33	GSM530657
