Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.719	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7932354,rs228769	1	GSM816644
1.628	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9594738,rs7524102,rs7932354,rs228769	2	Lookup
2.740	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs227584,rs9594738,rs7932354,rs228769	3	Lookup
1.802	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig	rs9594738,rs7932354,rs228769	4	Lookup
1.378	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs9594738,rs7932354,rs228769	5	Lookup
0.446	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7932354,rs228769	6	GSM816664
0.963	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs7932354,rs228769	7	GSM736607
2.491	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs9594738,rs7932354,rs228769	8	GSM736558,GSM736635
1.881	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs9594738,rs7932354,rs228769	9	GSM736525
3.037	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs4870044,rs9594738,rs7932354,rs228769	10	GSM736512,GSM736561
1.416	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs227584,rs9594738,rs7932354,rs228769	11	GSM816665,GSM736496,GSM736620
0.654	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs87938,rs7932354,rs228769	12	GSM816656
0.959	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9594738,rs7932354,rs228769	13	GSM816657
1.554	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9594738,rs7932354,rs228769	14	GSM816653
1.772	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9594738,rs7932354,rs228769,rs3018362	15	GSM816658
2.282	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9594738,rs7524102,rs7932354,rs228769	16	GSM816659
0.715	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs9594738,rs7932354,rs228769	17	GSM816648
1.690	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs9594738,rs7932354,rs228769	18	GSM736626,GSM736595
2.791	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs4870044,rs9594738,rs7932354,rs228769	19	GSM736501,GSM736492
0.892	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs9594738,rs7932354,rs228769,rs1007738	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
0.905	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs7932354,rs228769	21	GSM736604,GSM736529
0.867	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs9594738,rs7932354,rs228769	22	GSM736592,GSM1024760
