Zscore	Cell	Tissue	File	SNPs	Number	Accession
0.964	HTR8svn	Blastula	wgEncodeOpenChromDnaseHtr8AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs10821415,rs10824026	1	GSM816644
2.705	Adult_CD4+	Blood	Adult_Th0_AllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2106261,rs1152591,rs2040862,rs10821415,rs4776472	2	Lookup
2.054	CD14+	Blood	CD14-DS18065.hg19.twopass.merge150.wgt10.zgt2.wig	rs7193343,rs17375901,rs4776472	3	Lookup
-0.896	CD20+	Blood	CD20-DS17541.hg19.twopass.merge150.wgt10.zgt2.wig		4	Lookup
0.919	CD34+	Blood	CD34-DS16814.hg19.twopass.merge150.wgt10.zgt2.wig	rs7193343,rs4776472	5	Lookup
3.395	CLL	Blood	wgEncodeOpenChromDnaseCllAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7193343,rs13376333,rs6666258,rs17375901,rs4776472	6	GSM816664
0.187	CMK	Blood	CMK-DS12393.twopass.merge150.wgt10.zgt2.wig	rs7193343	7	GSM736607
0.620	GM06990	Blood	GM06990-DS7748.twopass.merge150.wgt10.zgt2.wig	rs4776472	8	GSM736558,GSM736635
2.487	GM12864	Blood	GM12864-DS12431.twopass.merge150.wgt10.zgt2.wig	rs13376333,rs6666258,rs4776472	9	GSM736525
0.079	GM12865	Blood	GM12865-DS12436.twopass.merge150.wgt10.zgt2.wig	rs4776472	10	GSM736512,GSM736561
0.427	GM12878	Blood	GM12878-all.twopass.merge150.wgt10.zgt2.wig	rs7193343,rs4776472	11	GSM816665,GSM736496,GSM736620
3.286	GM12891	Blood	wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7193343,rs13376333,rs6666258,rs4776472,rs7164883	12	GSM816656
3.487	GM12892	Blood	wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2106261,rs7193343,rs13376333,rs6666258,rs4776472,rs7164883	13	GSM816657
1.118	GM18507	Blood	wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs4776472,rs7164883	14	GSM816653
1.308	GM19238	Blood	wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7193343,rs10821415,rs4776472	15	GSM816658
2.981	GM19239	Blood	wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs7193343,rs2040862,rs4776472,rs7164883	16	GSM816659
2.825	GM19240	Blood	wgEncodeOpenChromDnaseGm19240AlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs2106261,rs7193343,rs13376333,rs6666258,rs4776472	17	GSM816648
1.630	HL-60	Blood	HL60-DS11809.twopass.merge150.wgt10.zgt2.wig	rs7193343,rs17375901,rs10824026	18	GSM736626,GSM736595
1.290	Jurkat	Blood	Jurkat-DS12659.twopass.merge150.wgt10.zgt2.wig	rs7193343,rs4776472	19	GSM736501,GSM736492
2.484	K562	Blood	K562-all.twopass.merge150.wgt10.zgt2.wig	rs7193343,rs17375901,rs3807989,rs10824026,rs4776472	20	GSM816655,GSM1008602,GSM1008567,GSM1008601,GSM1008558,GSM1008580,GSM736629,GSM736566
3.344	NB4	Blood	NB4-DS12543.twopass.merge150.wgt10.zgt2.wig	rs7193343,rs17375901,rs10824026,rs4776472	21	GSM736604,GSM736529
0.437	Th1	Blood	hTH1-all.twopass.merge150.wgt10.zgt2.wig	rs7193343,rs4776472	22	GSM736592,GSM1024760
1.770	Th2	Blood	hTH2-DS7842.twopass.merge150.wgt10.zgt2.wig	rs13376333,rs4776472	23	GSM736502,GSM1024792
0.156	AoAF	Blood vessel	AoAF-DS13523.twopass.merge150.wgt10.zgt2.wig	rs10821415	24	GSM736583,GSM736505
0.286	AoSMC	Blood vessel	wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.twopass.merge150.wgt10.zgt2.wig	rs1152591	25	GSM816638
0.926	HBMEC	Blood vessel	HBMEC-DS13817.twopass.merge150.wgt10.zgt2.wig	rs10821415,rs10824026	26	GSM736509,GSM736554
2.157	HMVEC-dAd	Blood vessel	HMVEC_dAd-DS12957.hg19.twopass.merge150.wgt10.zgt2.wig	rs13376333,rs6666258,rs10821415	27	GSM1024745,GSM1024747
1.329	HMVEC-dBl-Ad	Blood vessel	HMVEC_dBlAd-DS13337.twopass.merge150.wgt10.zgt2.wig	rs7193343,rs10821415	28	GSM736609,GSM736523
0.860	HMVEC-dBl-Neo	Blood vessel	HMVEC_dBlNeo-DS13242.twopass.merge150.wgt10.zgt2.wig	rs7193343,rs10821415	29	GSM736571,GSM736521
1.942	HMVEC-dLy-Ad	Blood vessel	HMVEC_dLyAd-DS13261.twopass.merge150.wgt10.zgt2.wig	rs10821415,rs3807989	30	GSM736599,GSM736591
0.192	HMVEC-dLy-Neo	Blood vessel	HMVEC_dLyNeo-DS13150.twopass.merge150.wgt10.zgt2.wig	rs10821415	31	GSM736577,GSM736573
0.250	HMVEC-dNeo	Blood vessel	HMVEC_dNeo-DS12937.twopass.merge150.wgt10.zgt2.wig	rs10821415	32	GSM736611,GSM736624
0.975	HMVEC-LBl	Blood vessel	HMVEC_LBl-DS13372.twopass.merge150.wgt10.zgt2.wig	rs10821415,rs10824026	33	GSM736542,GSM736511
